"apartment_name","apartment_url","apartment_price","apartment_image_image","apartment_image_url","apartment_description","apartment_details_name"
"Beautiful maisonette near Artis with Garden","https://amsterdam.craigslist.org/apa/d/beautiful-maisonette-near-artis-with/7313735053.html","€2,950","https://images.craigslist.org/00G0G_cS8E93miPsNz_1320MM_50x50c.jpg","https://images.craigslist.org/00G0G_cS8E93miPsNz_1320MM_600x450.jpg","A lovely spacious 3 Bedroom maisonette with your own entrance and gorgeous garden.
* 3 Bedrooms
* 1.5 Bathrooms
* Recently Renovated
* Nicely Furnished
* Ideal and idyllic Amsterdam center location
* Washer Dryer
* Dishwasher
Available: immediately",""
"Beautiful maisonette near Artis with Garden","https://amsterdam.craigslist.org/apa/d/beautiful-maisonette-near-artis-with/7313735053.html","€2,950","https://images.craigslist.org/00v0v_iuVhmVCpgEBz_0CI0t2_50x50c.jpg","https://images.craigslist.org/00v0v_iuVhmVCpgEBz_0CI0t2_600x450.jpg","A lovely spacious 3 Bedroom maisonette with your own entrance and gorgeous garden.
* 3 Bedrooms
* 1.5 Bathrooms
* Recently Renovated
* Nicely Furnished
* Ideal and idyllic Amsterdam center location
* Washer Dryer
* Dishwasher
Available: immediately",""
"Beautiful maisonette near Artis with Garden","https://amsterdam.craigslist.org/apa/d/beautiful-maisonette-near-artis-with/7313735053.html","€2,950","https://images.craigslist.org/00505_d6mAfBHMJlAz_1320MM_50x50c.jpg","https://images.craigslist.org/00505_d6mAfBHMJlAz_1320MM_600x450.jpg","A lovely spacious 3 Bedroom maisonette with your own entrance and gorgeous garden.
* 3 Bedrooms
* 1.5 Bathrooms
* Recently Renovated
* Nicely Furnished
* Ideal and idyllic Amsterdam center location
* Washer Dryer
* Dishwasher
Available: immediately",""
"Beautiful maisonette near Artis with Garden","https://amsterdam.craigslist.org/apa/d/beautiful-maisonette-near-artis-with/7313735053.html","€2,950","https://images.craigslist.org/00B0B_d185Z9oy9C4z_1320MM_50x50c.jpg","https://images.craigslist.org/00B0B_d185Z9oy9C4z_1320MM_600x450.jpg","A lovely spacious 3 Bedroom maisonette with your own entrance and gorgeous garden.
* 3 Bedrooms
* 1.5 Bathrooms
* Recently Renovated
* Nicely Furnished
* Ideal and idyllic Amsterdam center location
* Washer Dryer
* Dishwasher
Available: immediately",""
"Beautiful maisonette near Artis with Garden","https://amsterdam.craigslist.org/apa/d/beautiful-maisonette-near-artis-with/7313735053.html","€2,950","https://images.craigslist.org/00909_j8tA1OfGt0z_0CI0pO_50x50c.jpg","https://images.craigslist.org/00909_j8tA1OfGt0z_0CI0pO_600x450.jpg","A lovely spacious 3 Bedroom maisonette with your own entrance and gorgeous garden.
* 3 Bedrooms
* 1.5 Bathrooms
* Recently Renovated
* Nicely Furnished
* Ideal and idyllic Amsterdam center location
* Washer Dryer
* Dishwasher
Available: immediately",""
"Beautiful maisonette near Artis with Garden","https://amsterdam.craigslist.org/apa/d/beautiful-maisonette-near-artis-with/7313735053.html","€2,950","https://images.craigslist.org/00m0m_fCQsfS6f08Yz_0pO0CI_50x50c.jpg","https://images.craigslist.org/00m0m_fCQsfS6f08Yz_0pO0CI_600x450.jpg","A lovely spacious 3 Bedroom maisonette with your own entrance and gorgeous garden.
* 3 Bedrooms
* 1.5 Bathrooms
* Recently Renovated
* Nicely Furnished
* Ideal and idyllic Amsterdam center location
* Washer Dryer
* Dishwasher
Available: immediately",""
"Beautiful maisonette near Artis with Garden","https://amsterdam.craigslist.org/apa/d/beautiful-maisonette-near-artis-with/7313735053.html","€2,950","https://images.craigslist.org/00r0r_3fBxLa5iZnQz_0CI0pO_50x50c.jpg","https://images.craigslist.org/00r0r_3fBxLa5iZnQz_0CI0pO_600x450.jpg","A lovely spacious 3 Bedroom maisonette with your own entrance and gorgeous garden.
* 3 Bedrooms
* 1.5 Bathrooms
* Recently Renovated
* Nicely Furnished
* Ideal and idyllic Amsterdam center location
* Washer Dryer
* Dishwasher
Available: immediately",""
"Beautiful maisonette near Artis with Garden","https://amsterdam.craigslist.org/apa/d/beautiful-maisonette-near-artis-with/7313735053.html","€2,950","https://images.craigslist.org/00303_7Z3Ms4qcUT4z_1320MM_50x50c.jpg","https://images.craigslist.org/00303_7Z3Ms4qcUT4z_1320MM_600x450.jpg","A lovely spacious 3 Bedroom maisonette with your own entrance and gorgeous garden.
* 3 Bedrooms
* 1.5 Bathrooms
* Recently Renovated
* Nicely Furnished
* Ideal and idyllic Amsterdam center location
* Washer Dryer
* Dishwasher
Available: immediately",""
"Beautiful maisonette near Artis with Garden","https://amsterdam.craigslist.org/apa/d/beautiful-maisonette-near-artis-with/7313735053.html","€2,950","https://images.craigslist.org/00a0a_hy4tcyjqpLKz_0t20CI_50x50c.jpg","https://images.craigslist.org/00a0a_hy4tcyjqpLKz_0t20CI_600x450.jpg","A lovely spacious 3 Bedroom maisonette with your own entrance and gorgeous garden.
* 3 Bedrooms
* 1.5 Bathrooms
* Recently Renovated
* Nicely Furnished
* Ideal and idyllic Amsterdam center location
* Washer Dryer
* Dishwasher
Available: immediately",""
"Beautiful maisonette near Artis with Garden","https://amsterdam.craigslist.org/apa/d/beautiful-maisonette-near-artis-with/7313735053.html","€2,950","https://images.craigslist.org/00z0z_iYYytiGFQNXz_0MM132_50x50c.jpg","https://images.craigslist.org/00z0z_iYYytiGFQNXz_0MM132_600x450.jpg","A lovely spacious 3 Bedroom maisonette with your own entrance and gorgeous garden.
* 3 Bedrooms
* 1.5 Bathrooms
* Recently Renovated
* Nicely Furnished
* Ideal and idyllic Amsterdam center location
* Washer Dryer
* Dishwasher
Available: immediately",""
"Beautiful maisonette near Artis with Garden","https://amsterdam.craigslist.org/apa/d/beautiful-maisonette-near-artis-with/7313735053.html","€2,950","https://images.craigslist.org/00t0t_5XhMUeGDb7ez_0LU11J_50x50c.jpg","https://images.craigslist.org/00t0t_5XhMUeGDb7ez_0LU11J_600x450.jpg","A lovely spacious 3 Bedroom maisonette with your own entrance and gorgeous garden.
* 3 Bedrooms
* 1.5 Bathrooms
* Recently Renovated
* Nicely Furnished
* Ideal and idyllic Amsterdam center location
* Washer Dryer
* Dishwasher
Available: immediately",""
"Beautiful maisonette near Artis with Garden","https://amsterdam.craigslist.org/apa/d/beautiful-maisonette-near-artis-with/7313735053.html","€2,950","https://images.craigslist.org/00U0U_25v3G4iij5kz_0MM132_50x50c.jpg","https://images.craigslist.org/00U0U_25v3G4iij5kz_0MM132_600x450.jpg","A lovely spacious 3 Bedroom maisonette with your own entrance and gorgeous garden.
* 3 Bedrooms
* 1.5 Bathrooms
* Recently Renovated
* Nicely Furnished
* Ideal and idyllic Amsterdam center location
* Washer Dryer
* Dishwasher
Available: immediately",""
"","","","","","","3BR / 1.5Ba"
"","","","","","","105m2"
"","","","","","","available jul 31"
"","","","","","","cats are OK - purrr"
"","","","","","","dogs are OK - wooof"
"","","","","","","flooring: wood"
"","","","","","","furnished"
"","","","","","","maisonette"
"","","","","","","w/d in unit"
"","","","","","","no smoking"
"","","","","","","street parking"
"","","","","","","rent payment period: monthly"
"Good for sharing furnished 2 double bedrooms apartment with terrace","https://amsterdam.craigslist.org/apa/d/good-for-sharing-furnished-double/7323491396.html","€2,150","https://images.craigslist.org/00h0h_18eQMIlIPgH_50x50c.jpg","https://images.craigslist.org/00h0h_18eQMIlIPgH_600x450.jpg","FOR RENT: 110m2 2br stylish modern apartment in Bos en Lommer
Rent: 2150,- (excl. utilities, annual city tax).
Deposit: required and refundable
HIGHLIGHTS
Fully furnished with premium brands (Bolia, Fest) Fully furnished kitchen with brand name appliances, extra freezer, dishwasher and pantry
Two bedrooms: King size bed (2x2m) and queen-size (1.6x2m) 8th floor with lift, excellent view, year-round sunlight
Double-paned windows, great insolation, large balcony
Easy access tram, bus, metro and highway
Quiet residential neighborhood with families, next to canals and football club
NEIGHBORHOOD
Albert Heijn, Vormar, Dirk, Aldi Erasmuspark De School (trendy restaurant, cafe, gym, club) Gym with swimming pool Buurman en Buurman artisanal pizza OLVG West hospital
CONDITIONS
Prefer quiet, neat working professionals. No smoking inside. No pets allowed.
VIEWING
Please get in touch with a self intro. Viewing available as soon as we receive your profiles and compositions.",""
"Good for sharing furnished 2 double bedrooms apartment with terrace","https://amsterdam.craigslist.org/apa/d/good-for-sharing-furnished-double/7323491396.html","€2,150","https://images.craigslist.org/00H0H_3kQqdKLAtAS_50x50c.jpg","https://images.craigslist.org/00H0H_3kQqdKLAtAS_600x450.jpg","-''-",""
"Good for sharing furnished 2 double bedrooms apartment with terrace","https://amsterdam.craigslist.org/apa/d/good-for-sharing-furnished-double/7323491396.html","€2,150","https://images.craigslist.org/00E0E_3HCivLlwNef_50x50c.jpg","https://images.craigslist.org/00E0E_3HCivLlwNef_600x450.jpg","-''-",""
"Good for sharing furnished 2 double bedrooms apartment with terrace","https://amsterdam.craigslist.org/apa/d/good-for-sharing-furnished-double/7323491396.html","€2,150","https://images.craigslist.org/00s0s_1rzIRkaPvZx_50x50c.jpg","https://images.craigslist.org/00s0s_1rzIRkaPvZx_600x450.jpg","-''-",""
"Good for sharing furnished 2 double bedrooms apartment with terrace","https://amsterdam.craigslist.org/apa/d/good-for-sharing-furnished-double/7323491396.html","€2,150","https://images.craigslist.org/00k0k_4ygypXmRuRM_50x50c.jpg","https://images.craigslist.org/00k0k_4ygypXmRuRM_600x450.jpg","-''-",""
"Good for sharing furnished 2 double bedrooms apartment with terrace","https://amsterdam.craigslist.org/apa/d/good-for-sharing-furnished-double/7323491396.html","€2,150","https://images.craigslist.org/00J0J_bcXtCJtJyMp_50x50c.jpg","https://images.craigslist.org/00J0J_bcXtCJtJyMp_600x450.jpg","-''-",""
"Good for sharing furnished 2 double bedrooms apartment with terrace","https://amsterdam.craigslist.org/apa/d/good-for-sharing-furnished-double/7323491396.html","€2,150","https://images.craigslist.org/00Y0Y_1wIF6jgtxO2_50x50c.jpg","https://images.craigslist.org/00Y0Y_1wIF6jgtxO2_600x450.jpg","-''-",""
"Good for sharing furnished 2 double bedrooms apartment with terrace","https://amsterdam.craigslist.org/apa/d/good-for-sharing-furnished-double/7323491396.html","€2,150","https://images.craigslist.org/00404_cbROJgopB6I_50x50c.jpg","https://images.craigslist.org/00404_cbROJgopB6I_600x450.jpg","-''-",""
"Good for sharing furnished 2 double bedrooms apartment with terrace","https://amsterdam.craigslist.org/apa/d/good-for-sharing-furnished-double/7323491396.html","€2,150","https://images.craigslist.org/01010_jpxMFuLx5l9_50x50c.jpg","https://images.craigslist.org/01010_jpxMFuLx5l9_600x450.jpg","-''-",""
"Good for sharing furnished 2 double bedrooms apartment with terrace","https://amsterdam.craigslist.org/apa/d/good-for-sharing-furnished-double/7323491396.html","€2,150","https://images.craigslist.org/00U0U_5PGT6oSYRTW_50x50c.jpg","https://images.craigslist.org/00U0U_5PGT6oSYRTW_600x450.jpg","-''-",""
"Good for sharing furnished 2 double bedrooms apartment with terrace","https://amsterdam.craigslist.org/apa/d/good-for-sharing-furnished-double/7323491396.html","€2,150","https://images.craigslist.org/00J0J_1rvVw6fN5I0_50x50c.jpg","https://images.craigslist.org/00J0J_1rvVw6fN5I0_600x450.jpg","-''-",""
"Good for sharing furnished 2 double bedrooms apartment with terrace","https://amsterdam.craigslist.org/apa/d/good-for-sharing-furnished-double/7323491396.html","€2,150","https://images.craigslist.org/00404_e4ObvRJIBCi_50x50c.jpg","https://images.craigslist.org/00404_e4ObvRJIBCi_600x450.jpg","-''-",""
"Good for sharing furnished 2 double bedrooms apartment with terrace","https://amsterdam.craigslist.org/apa/d/good-for-sharing-furnished-double/7323491396.html","€2,150","https://images.craigslist.org/00n0n_lU5RcMrP2S8_50x50c.jpg","https://images.craigslist.org/00n0n_lU5RcMrP2S8_600x450.jpg","-''-",""
"Good for sharing furnished 2 double bedrooms apartment with terrace","https://amsterdam.craigslist.org/apa/d/good-for-sharing-furnished-double/7323491396.html","€2,150","https://images.craigslist.org/00C0C_cXYO3zLcqv2_50x50c.jpg","https://images.craigslist.org/00C0C_cXYO3zLcqv2_600x450.jpg","-''-",""
"Good for sharing furnished 2 double bedrooms apartment with terrace","https://amsterdam.craigslist.org/apa/d/good-for-sharing-furnished-double/7323491396.html","€2,150","https://images.craigslist.org/00a0a_fPfpig7DbYW_50x50c.jpg","https://images.craigslist.org/00a0a_fPfpig7DbYW_600x450.jpg","-''-",""
"Good for sharing furnished 2 double bedrooms apartment with terrace","https://amsterdam.craigslist.org/apa/d/good-for-sharing-furnished-double/7323491396.html","€2,150","https://images.craigslist.org/00000_1kNRQMQpGJl_50x50c.jpg","https://images.craigslist.org/00000_1kNRQMQpGJl_600x450.jpg","-''-",""
"Good for sharing furnished 2 double bedrooms apartment with terrace","https://amsterdam.craigslist.org/apa/d/good-for-sharing-furnished-double/7323491396.html","€2,150","https://images.craigslist.org/00c0c_hFkub95U1zr_50x50c.jpg","https://images.craigslist.org/00c0c_hFkub95U1zr_600x450.jpg","-''-",""
"Good for sharing furnished 2 double bedrooms apartment with terrace","https://amsterdam.craigslist.org/apa/d/good-for-sharing-furnished-double/7323491396.html","€2,150","https://images.craigslist.org/00s0s_138nOByJjDI_50x50c.jpg","https://images.craigslist.org/00s0s_138nOByJjDI_600x450.jpg","-''-",""
"Good for sharing furnished 2 double bedrooms apartment with terrace","https://amsterdam.craigslist.org/apa/d/good-for-sharing-furnished-double/7323491396.html","€2,150","https://images.craigslist.org/00h0h_f0rBbOtC75a_50x50c.jpg","https://images.craigslist.org/00h0h_f0rBbOtC75a_600x450.jpg","-''-",""
"Good for sharing furnished 2 double bedrooms apartment with terrace","https://amsterdam.craigslist.org/apa/d/good-for-sharing-furnished-double/7323491396.html","€2,150","https://images.craigslist.org/00L0L_3SNu4DLlPDD_50x50c.jpg","https://images.craigslist.org/00L0L_3SNu4DLlPDD_600x450.jpg","-''-",""
"Good for sharing furnished 2 double bedrooms apartment with terrace","https://amsterdam.craigslist.org/apa/d/good-for-sharing-furnished-double/7323491396.html","€2,150","https://images.craigslist.org/00n0n_1U2vQj1cdjo_50x50c.jpg","https://images.craigslist.org/00n0n_1U2vQj1cdjo_600x450.jpg","-''-",""
"","","","","","","2BR / 1Ba"
"","","","","","","110m2"
"","","","","","","available may 29"
"","","","","","","furnished"
"","","","","","","apartment"
"","","","","","","laundry on site"
"","","","","","","street parking"
"Gorgeous furnished 1 bedroom apartment in the Jordaan","https://amsterdam.craigslist.org/apa/d/gorgeous-furnished-bedroom-apartment-in/7320975693.html","€1,750","https://images.craigslist.org/01111_aeOpwmzDmxBz_0aW069_50x50c.jpg","https://images.craigslist.org/01111_aeOpwmzDmxBz_0aW069_600x450.jpg","Located in the heart of the Jordaan nearby Anne Frank's house.
- Available per: Today for at least 1 year, longer preferred
- Floor m2: appr. 67 m2
- 1 bedroom
- Kitchen with modern fascilities
- Bathroom with bath and rain shower, toilet
- Original wooden floor
- Monumental beams
- Bedroom in the back of the apartment (very quiet)
- Very light apartment due to many windows.
- In a very cozy Amsterdam city centre street with boutique shops; in the Jordan area.
- Deposit: 2 months and refundable.
- Rental price per month: ¬ 1750,- exclusive utilities.
- Registration with the city hall is compulsory.",""
"Gorgeous furnished 1 bedroom apartment in the Jordaan","https://amsterdam.craigslist.org/apa/d/gorgeous-furnished-bedroom-apartment-in/7320975693.html","€1,750","https://images.craigslist.org/00t0t_gH55R6gAVLdz_0jm0cU_50x50c.jpg","https://images.craigslist.org/00t0t_gH55R6gAVLdz_0jm0cU_600x450.jpg","-''-",""
"Gorgeous furnished 1 bedroom apartment in the Jordaan","https://amsterdam.craigslist.org/apa/d/gorgeous-furnished-bedroom-apartment-in/7320975693.html","€1,750","https://images.craigslist.org/00k0k_cAh1SWAyFlHz_0ak06U_50x50c.jpg","https://images.craigslist.org/00k0k_cAh1SWAyFlHz_0ak06U_600x450.jpg","-''-",""
"Gorgeous furnished 1 bedroom apartment in the Jordaan","https://amsterdam.craigslist.org/apa/d/gorgeous-furnished-bedroom-apartment-in/7320975693.html","€1,750","https://images.craigslist.org/00A0A_5Mku4k3wrF1z_0yQ0ne_50x50c.jpg","https://images.craigslist.org/00A0A_5Mku4k3wrF1z_0yQ0ne_600x450.jpg","-''-",""
"Gorgeous furnished 1 bedroom apartment in the Jordaan","https://amsterdam.craigslist.org/apa/d/gorgeous-furnished-bedroom-apartment-in/7320975693.html","€1,750","https://images.craigslist.org/00o0o_cOzPLx2mBMuz_0ak06G_50x50c.jpg","https://images.craigslist.org/00o0o_cOzPLx2mBMuz_0ak06G_600x450.jpg","-''-",""
"Gorgeous furnished 1 bedroom apartment in the Jordaan","https://amsterdam.craigslist.org/apa/d/gorgeous-furnished-bedroom-apartment-in/7320975693.html","€1,750","https://images.craigslist.org/00c0c_dFcTbnawUe4z_0ak06Q_50x50c.jpg","https://images.craigslist.org/00c0c_dFcTbnawUe4z_0ak06Q_600x450.jpg","-''-",""
"Gorgeous furnished 1 bedroom apartment in the Jordaan","https://amsterdam.craigslist.org/apa/d/gorgeous-furnished-bedroom-apartment-in/7320975693.html","€1,750","https://images.craigslist.org/01616_kdrqOdaQ7ACz_0yQ0nd_50x50c.jpg","https://images.craigslist.org/01616_kdrqOdaQ7ACz_0yQ0nd_600x450.jpg","-''-",""
"Gorgeous furnished 1 bedroom apartment in the Jordaan","https://amsterdam.craigslist.org/apa/d/gorgeous-furnished-bedroom-apartment-in/7320975693.html","€1,750","https://images.craigslist.org/00g0g_dqjhF1aZaZRz_0ak07b_50x50c.jpg","https://images.craigslist.org/00g0g_dqjhF1aZaZRz_0ak07b_600x450.jpg","-''-",""
"Gorgeous furnished 1 bedroom apartment in the Jordaan","https://amsterdam.craigslist.org/apa/d/gorgeous-furnished-bedroom-apartment-in/7320975693.html","€1,750","https://images.craigslist.org/00R0R_isEb15U0Zotz_0yQ0ne_50x50c.jpg","https://images.craigslist.org/00R0R_isEb15U0Zotz_0yQ0ne_600x450.jpg","-''-",""
"Gorgeous furnished 1 bedroom apartment in the Jordaan","https://amsterdam.craigslist.org/apa/d/gorgeous-furnished-bedroom-apartment-in/7320975693.html","€1,750","https://images.craigslist.org/00C0C_c5OYshwjceZz_0ak070_50x50c.jpg","https://images.craigslist.org/00C0C_c5OYshwjceZz_0ak070_600x450.jpg","-''-",""
