,Address,Postcode,Size in m²,Rooms,Prize in €
0,"Apartment Bijlmerdreef


                       ", 1103 TW ,80 ,3,"2,800"
0,"Apartment Dapperstraat


                       ", 1093 BS ,55 ,2,"2,350"
0,, 1104 KZ ,21 ,4,"4,300"
0,"Apartment Maassluisstraat


                       ", 1062 GS ,40 ,2,"2,500"
0,"Apartment Bezaanjachtplein


                       ", 1034 CR ,50 ,2,"2,500"
0,"Apartment Loenermark


                       ", 1025 SV ,75 ,3,"2,000"
0,"Apartment Wilhelminastraat


                       ", 1054 VW ,60 ,2,"2,500"
0,"Apartment Bankastraat


                       ", 1094 EA ,55 ,3,"2,500"
0,"Apartment Vechtstraat


                       ", 1079 JG ,65 ,3,"2,200"
0,"Apartment Korte Leidsedwarsstraat


                       ", 1017 RD ,65 ,3,"2,500"
0,"Apartment Van Hogendorpstraat


                       ", 1051 BL ,75 ,2,"3,000"
0,"Apartment Lumeijstraat


                       ", 1056 VX ,75 ,3,"3,000"
0,"Apartment Keizersgracht


                       ", 1015 CN ,40 ,3,"3,500"
0,"Apartment Jan Evertsenstraat 547


                       ", 1061 XZ ,50 ,2,"3,000"
0,"Apartment Ruimzicht


                       ", 1068 CP ,05 ,3,"3,000"
0,"Apartment Bert Haanstrakade 182


                       ", 1087 DK ,10 ,2,"4,450"
0,"Apartment Bilderdijkstraat 56 H


                       ", 1053 KV ,60 ,2,"3,000"
0,"Apartment Hembrugstraat 7 2


                       ", 1013 WV ,46 ,2,"2,150"
0,"Apartment Jesse Owenshof


                       ", 1034 WT ,72 ,3,"2,000"
0,"Apartment Bernard Zweerskade 20 III


                       ", 1077 VA ,45 ,5,"4,650"
0,"Apartment Spuistraat 78 C


                       ", 1012 TW ,75 ,3,"4,500"
0,"Apartment Tweede Kostverlorenkade 132 2


                       ", 1053 SE ,50 ,3,"3,500"
0,"Apartment Johan Hofmanstraat 252


                       ", 1069 KE ,96 ,3,"3,500"
0,"Apartment Saskia van Uijlenburgkade


                       ", 1058 GA ,06 ,3,"5,000"
0,"Apartment Waalstraat


                       ", 1079 DP ,55 ,2,"2,800"
0,"Apartment Th. J. Lammerslaan 35


                       ", 1064 DH ,80 ,3,"3,000"
0,"Apartment Marnixstraat


                       ", 1016 XV ,65 ,2,"4,000"
0,"Apartment Pieter Vlamingstraat 18 III


                       ", 1093 AD ,80 ,4,"2,800"
0,"Apartment Raadhuisstraat 19 II


                       ", 1016 DB ,35 ,2,"2,800"
0,"Apartment Brouwersgracht 248 A


                       ", 1013 HE ,78 ,2,"4,000"
0,"Apartment Brouwersgracht 248 K


                       ", 1013 HE ,60 ,2,"2,150"
0,, 1025 MS ,15 ,4,"4,500"
0,"Apartment Gerard Doustraat 8 B


                       ", 1072 VP ,46 ,3,"3,500"
0,"Apartment Plantage Doklaan 42 D


                       ", 1018 CN ,19 ,1,"2,350"
0,"Apartment Overschiestraat 170 B17


                       ", 1062 XK ,12 ,4,"4,350"
0,"Apartment Westerdoksdijk


                       ", 1013 BX ,62 ,2,"2,500"
0,"Apartment Beulingstraat 4 N


                       ", 1017 BA ,50 ,2,"2,500"
0,"Apartment Esplanade de Meer 158


                       ", 1098 WP ,96 ,3,"2,500"
0,"Apartment Van Kinsbergenstraat 80


                       ", 1057 PT ,53 ,2,"3,500"
0,"Apartment Faas Wilkesstraat 225


                       ", 1095 MD ,67 ,3,"2,150"
0,"Apartment Kloveniersburgwal 121 B


                       ", 1011 KC ,70 ,3,"4,050"
0,"Apartment Beethovenstraat 241


                       ", 1077 JE ,80 ,3,"3,500"
0,"Apartment Nachtwachtlaan 187


                       ", 1058 EG ,59 ,2,"2,150"
0,"Apartment Hoofdweg 95 B


                       ", 1058 BA ,65 ,3,"2,800"
0,"Apartment Osdorper Ban 615


                       ", 1069 GA ,80 ,3,"2,150"
0,"Apartment Lindengracht 29 2


                       ", 1015 KB ,41 ,2,"2,000"
0,"Apartment Derde Helmersstraat 72 1


                       ", 1054 BL ,67 ,2,"3,000"
0,"Apartment Johannes Worpstraat 21 III


                       ", 1076 BD ,50 ,2,"2,500"
0,"Apartment Ehrlichstraat 10 2


                       ", 1098 SB ,70 ,3,"2,150"
0,"Apartment Curiestraat 18 2


                       ", 1098 RV ,70 ,3,"2,000"
0,"Apartment Termini 443


                       ", 1025 XM ,77 ,3,"3,000"
0,"Apartment Belgiëplein


                       ", 1066 SC ,66 ,3,"2,400"
0,"Apartment Herenstraat 20


                       ", 1015 CB ,67 ,2,"3,500"
0,"Apartment Welnastraat


                       ", 1096 GJ ,32 ,1,"2,000"
0,"Apartment Muntplein 2 G


                       ", 1012 WR ,64 ,2,"1,700"
0,"Apartment Van Nijenrodeweg


                       ", 1082 HG ,86 ,3,"2,800"
0,"Apartment Boomstraat


                       ", 1015 LB ,50 ,2,"2,500"
0,"Apartment Govert Flinckstraat


                       ", 1072 EG ,56 ,2,"4,000"
0,"Apartment Nieuwe Achtergracht 97 HS


                       ", 1018 WP ,55 ,3,"4,000"
0,"Apartment Martelaarsgracht 9 IV


                       ", 1012 TN ,51 ,2,"3,500"
0,"Apartment Bloedstraat 22 II


                       ", 1012 BS ,50 ,2,"2,500"
0,"Apartment Ceintuurbaan


                       ", 1074 EB ,60 ,2,"2,800"
0,"Apartment Brouwersgracht 248 F


                       ", 1013 HE ,62 ,2,"2,500"
0,"Apartment Rozenboomsteeg 8 I


                       ", 1012 PR ,81 ,3,"4,000"
0,"Apartment August Allebéplein 243 a


                       ", 1062 AB ,50 ,3,"2,750"
0,"Apartment Blasiusstraat


                       ", 1091 CL ,61 ,3,"3,000"
0,"Apartment Stadhouderskade 124 G


                       ", 1074 AV ,37 ,1,"2,350"
0,"Apartment Tweede Bloemdwarsstraat 1 B


                       ", 1016 LL ,55 ,4,"2,500"
0,"Apartment Julius Pergerstraat 61


                       ", 1087 KN ,80 ,3,"2,800"
0,"Apartment Albert Cuypstraat 132 1


                       ", 1073 BJ ,36 ,2,"3,500"
0,"Apartment Raamgracht 27 1


                       ", 1011 KJ ,34 ,2,"2,800"
0,"Apartment Marnixstraat 54 HL


                       ", 1015 VT ,31 ,2,"2,350"
0,"Apartment Albert Cuypstraat 132 4


                       ", 1073 BJ ,28 ,2,"3,500"
0,"Apartment August Allebéplein 57


                       ", 1062 AB ,50 ,3,"2,000"
0,"Apartment Ferdinand Bolstraat



                       ", 1072 LB ,66 ,3,"5,500"
0,"Apartment Jacques Veltmanstraat


                       ", 1065 EG ,24 ,3,"3,000"
0,"Apartment Nes


                       ", 1012 KC ,58 ,3,"3,500"
0,"Apartment Overschiestraat 170 B9*


                       ", 1062 XK ,77 ,3,"2,600"
0,"Apartment Overschiestraat 170 B19*


                       ", 1062 XK ,77 ,3,"2,600"
0,"Apartment Swammerdamstraat


                       ", 1091 RW ,65 ,3,"3,050"
0,"Apartment Overschiestraat 170 B10*


                       ", 1062 XK ,77 ,3,"2,600"
0,"Apartment Singel


                       ", 1012 VG ,48 ,2,"2,150"
0,"Apartment Jan Smitstraat


                       ", 1069 SZ ,95 ,3,"3,000"
0,"Apartment Benedenlangs 17


                       ", 1025 KB ,55 ,2,"1,950"
0,"Apartment Prinsengracht 657 1


                       ", 1016 HV ,45 ,2,"2,300"
0,"Apartment Groenburgwal


                       ", 1011 HW ,80 ,3,"3,650"
0,"Apartment Van Nijenrodeweg


                       ", 1082 HV ,87 ,3,"3,500"
0,"Apartment Overschiestraat 170 C6*


                       ", 1062 XK ,74 ,3,"1,800"
0,"Apartment Sara Burgerhartstraat


                       ", 1055 LB ,56 ,3,"2,150"
0,"Apartment Singel


                       ", 1012 WJ ,82 ,4,"4,000"
0,"Apartment Rustenburgerstraat


                       ", 1073 GJ ,53 ,3,"3,000"
0,"Apartment Eastonstraat


                       ", 1068 JD ,10 ,4,"3,500"
0,"Apartment Jan Vrijmanstraat 345


                       ", 1087 NB ,09 ,3,"3,000"
0,"Apartment Brouwersgracht 248 B


                       ", 1013 HE ,62 ,2,"2,800"
0,"Apartment Aalsmeerweg 127 2


                       ", 1059 AH ,72 ,3,"2,800"
0,"Apartment Vondelstraat 122 C


                       ", 1054 GS ,70 ,2,"3,500"
0,"Apartment Koggestraat 8 B


                       ", 1012 TA ,68 ,2,"2,800"
0,"Apartment Daniël Stalpertstraat


                       ", 1072 XL ,67 ,3,"3,500"
0,"Apartment Orteliusstraat 349 I


                       ", 1056 PC ,55 ,2,"2,500"
0,"Apartment Keizersgracht


                       ", 1017 DZ ,90 ,2,"3,600"
0,"Apartment Joos Banckersplantsoen 85


                       ", 1056 LD ,30 ,3,"4,500"
0,"Apartment Westerkade


                       ", 1015 XE ,87 ,3,"3,000"
0,"Apartment Paramaribostraat 57 2


                       ", 1058 VG ,08 ,4,"3,500"
0,"Apartment Wamelplein


                       ", 1106 DP ,60 ,2,"2,500"
0,"Apartment Koningin Wilhelminaplein


                       ", 1062 KS ,64 ,2,"2,850"
0,"Apartment Koningin Wilhelminaplein


                       ", 1062 KR ,64 ,2,"3,000"
0,"Apartment Koningin Wilhelminaplein


                       ", 1062 KS ,64 ,2,"3,000"
0,"Apartment Graafschapstraat


                       ", 1079 PE ,55 ,2,"1,950"
0,"Apartment Koningin Wilhelminaplein


                       ", 1062 KS ,90 ,3,"3,000"
0,"Apartment Koningin Wilhelminaplein


                       ", 1062 KS ,99 ,4,"2,600"
0,"Apartment De Lairessestraat


                       ", 1071 PB ,00 ,3,"3,650"
0,"Apartment Henri Zagwijnstraat 2 1


                       ", 1077 XP ,72 ,3,"2,200"
0,"Apartment Boeninlaan


                       ", 1102 TK ,56 ,2,"2,500"
0,"Apartment Nassaukade 302 1


                       ", 1053 LN ,45 ,2,"2,350"
0,"Apartment Kolfschotenstraat 324


                       ", 1104 PG ,50 ,2,"2,500"
0,"Apartment Omval 259 PP



                       ", 1096 HR ,80 ,3,"3,150"
0,"Apartment Kloveniersburgwal 77 C


                       ", 1011 KA ,25 ,3,"3,650"
0,"Apartment Fritz Conijnstraat


                       ", 1063 CC ,58 ,3,"2,800"
0,"Apartment Sophialaan 47


                       ", 1075 BM ,80 ,9,"4,000"
0,"Apartment Koninginneweg 8 1


                       ", 1075 CX ,32 ,3,"5,950"
0,"Apartment Koninginneweg 188 bv


                       ", 1075 EJ ,80 ,6,"4,700"
0,"Apartment IJdok 109


                       ", 1013 MM ,40 ,3,"2,950"
0,"Apartment Sassenheimstraat


                       ", 1059 BA ,55 ,3,"3,000"
0,"Apartment Overtoom 508 IV


                       ", 1054 KK ,79 ,3,"4,200"
0,"Apartment Staringplein


                       ", 1054 VK ,60 ,3,"4,000"
0,"Apartment Brouwersgracht 248 C


                       ", 1013 HE ,78 ,2,"3,000"
0,"Apartment Brouwersgracht 248 A


                       ", 1013 HE ,78 ,2,"4,000"
0,"Apartment Eerste Hugo de Grootstraat


                       ", 1052 KK ,70 ,2,"2,500"
0,, 1052 XE ,56 ,3,"1,700"
0,"Apartment Van Hogendorpstraat 155 1


                       ", 1051 BN ,60 ,2,"2,000"
0,"Apartment Van Ostadestraat 238 3


                       ", 1073 TV ,90 ,3,"3,050"
0,"Apartment Carnapstraat


                       ", 1062 KT ,92 ,3,"3,500"
0,"Apartment Koningin Wilhelminaplein


                       ", 1062 KS ,80 ,3,"2,150"
0,"Apartment Koggestraat


                       ", 1012 TA ,92 ,3,"5,000"
0,"Apartment Singel


                       ", 1016 AK ,85 ,2,"4,200"
0,"Apartment Govert Flinckstraat


                       ", 1074 CA ,55 ,2,"3,000"
0,"Apartment Fokke Simonszstraat 65 B2


                       ", 1017 TE ,40 ,2,"2,150"
0,"Apartment Gerard Douplein 19 H


                       ", 1073 XE ,05 ,4,"3,500"
0,"Apartment Maassluisstraat


                       ", 1062 GS ,40 ,1,"2,500"
0,"Apartment Eva Besnyöstraat


                       ", 1087 KR ,90 ,3,"3,000"
0,"Apartment Van Gentstraat


                       ", 1055 PC ,70 ,3,"3,000"
0,"Apartment Govert Flinckstraat


                       ", 1074 CA ,55 ,2,"3,000"
0,"Apartment Spijkerkade



                       ", 1021 JS ,30 ,1,"1,950"
0,"Apartment Spuistraat


                       ", 1012 SP ,45 ,2,"2,850"
0,"Apartment Spijkerkade


                       ", 1021 JS ,30 ,1,"1,950"
0,"Apartment Weteringschans 41 A


                       ", 1017 RW ,20 ,3,"4,500"
0,"Apartment Kuiperssteeg


                       ", 1012 HR ,75 ,2,"2,500"
0,"Apartment Nijenburg 8


                       ", 1081 GG ,56 ,2,"3,500"
0,"Apartment Dalsteindreef


                       ", 1102 XA ,44 ,2,"1,700"
0,"Apartment Valschermkade


                       ", 1059 CD ,18 ,1,€2000
0,"Apartment Bloemgracht 110 B


                       ", 1015 TN ,03 ,4,"4,000"
0,"Apartment Waverstraat


                       ", 1079 VL ,55 ,2,"3,000"
0,"Apartment Erich Salomonstraat


                       ", 1087 GT ,90 ,3,"2,500"
0,"Apartment Van der Hoopstraat


                       ", 1051 VE ,50 ,2,"3,500"
0,"Apartment Nijenburg 7


                       ", 1081 GD ,86 ,4,"4,000"
0,"Apartment Anna Blamansingel



                       ", 1102 SX ,55 ,2,"2,350"
0,"Apartment Staringstraat


                       ", 1054 VS ,77 ,3,"3,150"
0,"Apartment Brouwersgracht 248 F


                       ", 1013 HE ,62 ,2,"2,500"
0,"Apartment Kromme-Mijdrechtstraat


                       ", 1079 KR ,60 ,2,"3,500"
0,"Apartment Anna Blamansingel


                       ", 1102 SR ,50 ,2,"2,350"
0,"Apartment Loosduinenstraat 100


                       ", 1062 EG ,00 ,3,"3,150"
0,"Apartment Leidsegracht 82 F


                       ", 1016 CR ,05 ,3,"6,200"
0,"Apartment Fregelaan 15


                       ", 1062 KK ,93 ,3,"2,000"
0,"Apartment Hogewerf 133


                       ", 1082 NC ,81 ,3,"2,000"
0,"Apartment Samosstraat 30


                       ", 1060 TA ,14 ,1, €710
0,"Apartment Rinus Michelslaan 221


                       ", 1061 MB ,67 ,3,"2,150"
0,"Apartment Bloemstraat


                       ", 1016 LJ ,86 ,3,"4,750"
0,"Apartment De Lairessestraat


                       ", 1071 PL ,92 ,3,"4,000"
0,"Apartment Van Spilbergenstraat


                       ", 1057 RK ,70 ,3,"3,000"
0,"Apartment John Franklinstraat


                       ", 1056 SX ,54 ,2,"2,000"
0,"Apartment Prins Hendrikkade


                       ", 1011 TB ,40 ,5,"7,000"
0,, 1066 MG ,05 ,5,"4,500"
0,"Apartment Van Breestraat


                       ", 1071 ZG ,70 ,3,"5,000"
0,"Apartment Elisabeth Wolffstraat



                       ", 1053 TR ,07 ,5,"3,000"
0,"Apartment Beethovenstraat 151 1


                       ", 1077 JD ,73 ,3,"3,500"
0,"Apartment Overtoom 403 II


                       ", 1054 JP ,63 ,3,"3,150"
0,"Apartment Rosmarijnsteeg 15


                       ", 1012 RP ,60 ,2,"2,500"
0,"Apartment Veerstraat 8 H


                       ", 1075 ST ,95 ,3,"4,500"
0,"Apartment Kinderdijkstraat 76 II


                       ", 1079 GN ,55 ,3,"2,500"
0,"Apartment Vlakkerweg 97


                       ", 1033 DZ ,75 ,3,"2,150"
0,"Apartment Tweede Hugo de Grootstraat 28 A


                       ", 1052 LD ,60 ,3,"2,500"
0,"Apartment Van Breestraat


                       ", 1071 ZP ,00 ,7,"9,000"
0,"Apartment Stephensonstraat 20 C


                       ", 1097 BB ,27 ,3,"3,150"
0,"Apartment Gaasterlandstraat 158


                       ", 1079 RH ,64 ,2,"3,000"
0,"Apartment Fregelaan 121


                       ", 1062 KM ,00 ,3,"2,450"
0,"Apartment Gaasterlandstraat 174


                       ", 1079 RH ,89 ,3,"2,800"
0,"Apartment Eemlandstraat 13


                       ", 1079 RM ,60 ,2,"2,000"
0,"Apartment Gaasterlandstraat 124


                       ", 1079 RH ,89 ,3,"2,600"
0,"Apartment Gustav Mahlerlaan 679


                       ", 1082 MK ,93 ,3,"3,500"
0,"Apartment Brouwersgracht 248 F


                       ", 1013 HE ,62 ,2,"2,500"
0,"Apartment Curaçaostraat


                       ", 1058 BT ,62 ,2,"2,050"
0,"Apartment Gerard Doustraat


                       ", 1072 VL ,46 ,2,"4,000"
0,"Apartment Pieter Lastmankade


                       ", 1075 KJ ,62 ,3,"3,150"
0,"Apartment Hoofddorpplein 10 II


                       ", 1058 PD ,55 ,2,"2,150"
0,"Apartment Kerkstraat


                       ", 1017 JA ,65 ,3,"4,500"
0,"Apartment Gerrit van der Veenstraat


                       ", 1077 DN ,68 ,3,"4,450"
0,"Apartment Eerste Jan van der Heijdenstraat 34 B


                       ", 1072 TV ,70 ,3,"4,500"
0,"Apartment Bos en Lommerweg


                       ", 1055 EC ,56 ,3,"2,000"
0,"Apartment Laurierstraat 75 F


                       ", 1016 PJ ,32 ,2,"2,000"
0,"Apartment Wedderborg 5


                       ", 1082 SV ,70 ,2,"3,500"
0,"Apartment Nieuwe Leliestraat 153 1


                       ", 1015 HC ,40 ,2,"2,500"
0,"Apartment Willem de Zwijgerlaan 353 2



                       ", 1055 RB ,50 ,2,"2,000"
0,"Apartment Amstelveenseweg 71 3


                       ", 1075 VV ,70 ,4,"4,450"
0,"Apartment Tugelaweg 71 1


                       ", 1091 VM ,54 ,3,"2,500"
0,"Apartment Venetiëhof


                       ", 1019 NC ,90 ,3,"3,000"
0,"Apartment Laurierstraat 75 G


                       ", 1016 PJ ,28 ,2,"2,000"
0,"Apartment Van Nijenrodeweg 546


                       ", 1082 HS ,90 ,3,"2,800"
0,"Apartment Eerste Jacob van Campenstraat


                       ", 1072 BH ,60 ,2,"3,000"
0,"Apartment Djambistraat 44 1


                       ", 1094 BB ,55 ,3,"3,000"
0,"Apartment Lindengracht


                       ", 1015 KN ,60 ,3,"3,500"
0,"Apartment Loenermark


                       ", 1025 SB ,80 ,4,"2,500"
0,"Apartment Spuistraat 3 F15


                       ", 1012 SP ,60 ,2,"2,000"
0,"Apartment Réaumurstraat 31 H


                       ", 1097 RE ,60 ,2,"2,150"
0,"Apartment Prinsengracht


                       ", 1017 KH ,45 ,2,"3,000"
0,"Apartment Singel


                       ", 1012 WL ,70 ,2,"3,000"
0,, 1086 XZ ,20 ,8,"4,650"
0,"Apartment Alfred Döblinstraat


                       ", 1102 VK ,80 ,3,"1,950"
0,"Apartment Willem de Zwijgerlaan 108 H


                       ", 1056 JV ,50 ,2,"2,000"
0,"Apartment Paardekraalstraat 2 4


                       ", 1092 JB ,68 ,3,"3,000"
0,"Apartment Sumatrastraat 60 4


                       ", 1094 NG ,53 ,2,"3,500"
0,"Apartment Fokke Simonszstraat


                       ", 1017 TE ,72 ,2,"3,650"
0,"Apartment Brouwersgracht 248 A


                       ", 1013 HE ,78 ,2,"4,000"
0,"Apartment Brouwersgracht 248 B


                       ", 1013 HE ,62 ,2,"2,800"
0,"Apartment Westerdok 198


                       ", 1013 BH ,90 ,3,"2,800"
0,"Apartment Haardstee 95


                       ", 1102 NE ,65 ,2,"1,950"
0,"Apartment Huidekoperstraat 25 A


                       ", 1017 ZL ,72 ,3,"3,150"
0,"Apartment Rozengracht 216 1


                       ", 1016 NL ,40 ,2,"2,350"
0,"Apartment Fokke Simonszstraat


                       ", 1017 TE ,82 ,2,"4,500"
0,"Apartment Funenpark 320


                       ", 1018 AK ,75 ,2,"2,800"
0,"Apartment Nieuwe Uilenburgerstraat 108


                       ", 1011 LX ,15 ,2,"4,450"
0,"Apartment Van Leijenberghlaan 113 A


                       ", 1082 GD ,16 ,4,"4,300"
0,"Apartment Van Heenvlietlaan 122 A


                       ", 1083 CL ,11 ,4,"4,300"
0,"Apartment Olympiaweg 72 1


                       ", 1076 XD ,48 ,2,"3,000"
0,, 1054 LE ,40 ,4,"6,500"
0,"Apartment Leidsegracht


                       ", 1016 CR ,65 ,5,"9,000"
0,"Apartment Nieuwe Herengracht


                       ", 1011 SG ,76 ,3,"3,500"
0,, 1075 RJ ,70 ,7,"9,500"
0,"Apartment Kerkstraat 303 G


                       ", 1017 GZ ,00 ,2,"3,250"
0,"Apartment Jan Luijkenstraat 60 III+IV


                       ", 1071 CS ,30 ,4,"4,500"
0,"Apartment Lederambachtstraat


                       ", 1069 HK ,80 ,4,"4,450"
0,"Apartment Kromme-Mijdrechtstraat 65 2


                       ", 1079 KR ,48 ,2,"2,150"
0,"Apartment Bolestein 546



                       ", 1081 EJ ,88 ,3,"2,800"
0,"Apartment Madurastraat


                       ", 1094 GR ,55 ,3,"2,500"
0,"Apartment Seranggracht


                       ", 1019 PM ,90 ,3,"2,200"
0,"Apartment Ruysdaelkade 113 a



                       ", 1072 AN ,55 ,2,"2,800"
0,"Apartment Fagelstraat 71 B


                       ", 1052 EZ ,66 ,3,"2,500"
0,"Apartment Oeverpad 431


                       ", 1068 PM ,06 ,3,"3,000"
0,"Apartment Sumatrakade 1499


                       ", 1019 RS ,10 ,4,"3,050"
0,"Apartment Keizersgracht 141 B


                       ", 1015 CK ,15 ,4,"2,950"
0,"Apartment Brouwersgracht 6 I


                       ", 1013 GW ,45 ,2,"2,500"
0,"Apartment Tielstraat 56


                       ", 1107 RA ,70 ,3,"2,300"
0,"Apartment Foeliedwarsstraat 62 1


                       ", 1011 TP ,87 ,3,"3,000"
0,"Apartment Groenhoven 721


                       ", 1103 LV ,05 ,5,"3,500"
0,"Apartment Brouwersgracht 248 A


                       ", 1013 HE ,78 ,2,"4,000"
0,"Apartment Lucellestraat 36 3


                       ", 1055 JA ,68 ,4,"3,500"
0,"Apartment Singel 39 A


                       ", 1012 VC ,42 ,2,"2,350"
0,"Apartment Michelangelostraat 81 I


                       ", 1077 BX ,60 ,2,"2,000"
0,"Apartment Geulstraat


                       ", 1078 LA ,81 ,3,"2,200"
0,"Apartment Van Walbeeckstraat


                       ", 1058 CM ,57 ,3,"2,300"
0,"Apartment Frans Halsstraat


                       ", 1072 BS ,50 ,3,"3,000"
0,"Apartment Keizersgracht 680 I


                       ", 1017 ET ,70 ,2,"3,000"
0,"Apartment Rijnstraat


                       ", 1078 RD ,57 ,3,"2,800"
0,"Apartment Veerstraat


                       ", 1075 SZ ,50 ,2,"2,500"
0,"Apartment Martelaarsgracht


                       ", 1012 TR ,70 ,3,"3,500"
0,"Apartment Welnastraat


                       ", 1096 GJ ,28 ,1,"2,500"
0,"Apartment Gerrit van der Veenstraat 161 H


                       ", 1077 EA ,62 ,6,"8,000"
0,"Apartment Gerrit van der Veenstraat 127 B


                       ", 1077 DW ,74 ,5,"7,600"
0,"Apartment Ferdinand Bolstraat


                       ", 1072 LB ,66 ,3,"5,500"
0,"Apartment Jacob van Lennepkade 44 3


                       ", 1053 ML ,90 ,2,"3,050"
0,"Apartment Tweede Jan Steenstraat 75 F


                       ", 1074 CL ,27 ,1,"2,350"
0,"Apartment Derde Schinkelstraat


                       ", 1075 TM ,80 ,3,"2,500"
0,"Apartment Hellingstraat


                       ", 1033 WW ,24 ,6,"4,350"
0,"Apartment Kribbestraat 48 2


                       ", 1079 WV ,55 ,3,"3,200"
0,"Apartment Eef Kamerbeekstraat 674


                       ", 1095 MP ,48 ,1,"2,000"
0,"Apartment Eef Kamerbeekstraat 654


                       ", 1095 MP ,70 ,2,"2,600"
0,"Apartment Rijnsburgstraat


                       ", 1059 AX ,70 ,3,"3,000"
0,"Apartment Geuzenstraat


                       ", 1056 JZ ,62 ,3,"2,500"
0,"Apartment Michelangelostraat 116


                       ", 1077 CH ,20 ,3,"5,700"
0,"Apartment Dever 16


                       ", 1082 BJ ,65 ,3,"2,150"
0,"Apartment Willem de Zwijgerlaan 207 2


                       ", 1056 JP ,64 ,3,"2,150"
0,"Apartment Harry Koningsbergerstraat


                       ", 1063 AG ,29 ,1,"2,300"
0,"Apartment Nassaukade


                       ", 1052 CK ,52 ,2,"3,900"
0,"Apartment Joan Muyskenweg 6 B8


                       ", 1096 CJ ,73 ,3,"2,500"
0,"Apartment Keizersgracht 210 II


                       ", 1016 DX ,80 ,2,"2,800"
0,"Apartment Bethaniënstraat


                       ", 1012 CA ,50 ,1,"2,500"
0,"Apartment Curaçaostraat


                       ", 1058 BT ,62 ,2,"2,050"
0,"Apartment Brouwersgracht 248 A


                       ", 1013 HE ,78 ,2,"4,000"
0,"Apartment Prinsengracht 193 D


                       ", 1015 DS ,40 ,3,"5,500"
0,"Apartment Mary van der Sluisstraat 106


                       ", 1095 ME ,65 ,2,"2,500"
0,"Apartment Griseldestraat


                       ", 1055 AZ ,56 ,4,"2,500"
0,"Apartment Van Nijenrodeweg


                       ", 1083 EJ ,30 ,1,"2,500"
0,, 1064 AL ,60 ,3,€1500
0,"Apartment Warmoesstraat 46 A


                       ", 1012 JE ,91 ,3,"2,950"
0,"Apartment Bloemstraat 36 D


                       ", 1016 LC ,45 ,2,"2,500"
0,"Apartment Van Boshuizenstraat 167


                       ", 1083 AV ,80 ,3,"2,150"
0,"Apartment Anton Verheijstraat 7 3


                       ", 1077 KT ,10 ,4,"4,450"
0,"Apartment Johan Hofmanstraat 206


                       ", 1069 KE ,90 ,3,"3,000"
0,"Apartment Kinderdijkstraat 36 1


                       ", 1079 GK ,56 ,3,"3,000"
0,"Apartment Ruysdaelkade 183 1


                       ", 1072 AT ,43 ,2,"2,150"
0,"Apartment Rokin 128 D


                       ", 1012 LC ,40 ,2,"2,350"
0,"Apartment Kinkerstraat


                       ", 1053 EL ,44 ,2,"3,000"
0,"Apartment Dalsteindreef


                       ", 1102 XA ,23 ,2,€1600
0,"Apartment Amstelvlietstraat 540


                       ", 1096 GG ,80 ,3,"2,400"
0,, 1015 TT ,20 ,4,"3,650"
0,"Apartment Van Spilbergenstraat


                       ", 1057 PV ,45 ,3,"2,700"
0,"Apartment ms. van Riemsdijkweg


                       ", 1033 RD ,75 ,3,"2,500"
0,"Apartment Oudezijds Voorburgwal


                       ", 1012 EM ,80 ,3,"4,000"
0,"Apartment Beethovenstraat 138 3


                       ", 1077 JS ,10 ,6,"4,650"
0,"Apartment Ceintuurbaan 216 2


                       ", 1072 GD ,65 ,3,"3,000"
0,"Apartment Willem de Zwijgerlaan


                       ", 1056 JT ,50 ,2,"1,700"
0,"Apartment Cabotstraat 17 1


                       ", 1057 VP ,48 ,3,"2,350"
0,"Apartment Nieuwezijds Kolk 12 3


                       ", 1012 PV ,47 ,2,"3,500"
0,"Apartment Wijdesteeg 64 *


                       ", 1012 RN ,50 ,2,"2,150"
0,"Apartment Tugelaweg 32 A


                       ", 1092 VE ,70 ,1,"3,000"
0,"Apartment Saenredamstraat


                       ", 1072 CH ,35 ,2,"2,150"
0,"Apartment Eef Kamerbeekstraat 88


                       ", 1095 MP ,45 ,1,"2,350"
0,"Apartment Hageland 120


                       ", 1066 SB ,77 ,3,"3,500"
0,"Apartment Kromme-Mijdrechtstraat


                       ", 1079 KR ,60 ,2,"3,500"
0,"Apartment Lucellestraat 36 3


                       ", 1055 JA ,68 ,4,"3,500"
0,"Apartment Noorderstraat


                       ", 1017 TW ,70 ,3,"3,150"
0,"Apartment Geldersekade 27 C


                       ", 1011 EJ ,48 ,2,"2,000"
0,"Apartment Joan Melchior Kemperstraat


                       ", 1051 TS ,39 ,2,"2,350"
0,"Apartment Van Walbeeckstraat 70 ll


                       ", 1058 CW ,58 ,4,"2,500"
0,"Apartment Prinsengracht 415 E


                       ", 1016 HM ,25 ,4,"6,200"
0,"Apartment Haarlemmermeerstraat 130 II


                       ", 1058 KH ,56 ,2,"2,150"
0,"Apartment Saskia van Uijlenburgkade 134


                       ", 1058 GA ,98 ,3,"3,500"
0,"Apartment Loenermark


                       ", 1025 TB ,90 ,4,"3,000"
0,"Apartment Van Spilbergenstraat 88 H


                       ", 1057 RL ,65 ,2,"3,000"
0,"Apartment Zeeburgerstraat


                       ", 1018 AG ,00 ,3,"4,500"
0,"Apartment Herengracht


                       ", 1016 BE ,50 ,2,"2,500"
