,Address,Postcode,Size in m²,Rooms,Prize in €,Price/Sqm,Latitude,Longitude
306,Muiderstraat 10 B                       , 1011 RB ,65.0,2,3000.0,46.153846153846146,52.36748400000001,4.905997
307,Govert Flinckstraat                       , 1074 CJ ,70.0,2,4500.0,64.28571428571429,52.355581,4.895827
308,Geldersekade 102 D                       , 1012 BM ,50.0,2,2700.0,54.0,52.373708,4.900629
309,Pretoriusstraat                       , 1092 GH ,80.0,3,3500.0,43.75,52.354728,4.921661
310,Zocherstraat                       , 1054 LS ,81.0,3,4450.0,54.93827160493828,52.357236,4.8565809999999985
311,Holendrechtstraat                       , 1078 TT ,40.0,1,1950.0,48.75,52.349028,4.908976999999998
312,Hofmeyrstraat                       , 1091 NA ,73.0,2,2800.0,38.35616438356164,52.351443,4.9164010000000005
313,H. Cleyndertweg                       , 1025 EB ,110.0,4,3000.0,27.272727272727273,52.403167,4.93714
314,Lange Leidsedwarsstraat                       , 1017 NR ,40.0,2,2300.0,57.5,52.363977,4.884571
315,Grensstraat                       , 1091 SV ,65.0,3,2500.0,38.46153846153846,52.354195,4.910623
316,Langswater 820                       , 1069 EH ,62.0,3,2300.0,37.096774193548384,52.359045,4.787959
317,Haarlemmerweg                       , 1051 KS ,75.0,3,3000.0,40.0,52.384849,4.8507440000000015
318,Herengracht                       , 1017 BX ,145.0,4,3500.0,24.13793103448276,52.365048,4.898317
319,Tweede Jan Steenstraat                       , 1074 CP ,59.0,3,4450.0,75.42372881355931,52.356401,4.901294
320,Fagelstraat 66 bv                       , 1052 GG ,97.0,3,5500.0,56.701030927835035,52.380355,4.876219
321,Eerste Constantijn Huygensstraat                       , 1054 BS ,51.0,3,4000.0,78.43137254901961,52.362854,4.8753
322,Eendrachtstraat                       , 1078 XZ ,70.0,3,3000.0,42.857142857142854,52.345101,4.889051
323,Runstraat                       , 1016 GK ,59.0,2,3000.0,50.847457627118644,52.368888,4.883527
324,Van Heenvlietlaan 160                       , 1083 CM ,135.0,4,2950.0,21.85185185185185,52.327514,4.882211
325,Apollolaan                       , 1077 AE ,120.0,5,4750.0,39.583333333333336,52.350372,4.8705120000000015
326,Valeriusstraat 27 C*                       , 1071 MC ,124.0,5,4000.0,32.25806451612903,52.35158,4.858601
327,Van Ostadestraat 4 hs                       , 1072 SX ,41.0,2,2500.0,60.97560975609756,52.354942,4.905282
328,Eef Kamerbeekstraat 532                       , 1095 MP ,75.0,2,2000.0,26.66666666666667,52.371642,4.96685
329,Amstelveenseweg 208 IV                       , 1075 XS ,80.0,3,3600.0,45.0,52.351586,4.855958
