,Address,Postcode,Size in m²,Rooms,Prize in €,Price/Sqm,Latitude,Longitude
544,Van Nijenrodeweg                       , 1082 HG ,86.0,3,2800.0,32.55813953488372,52.327461,4.858417
545,Govert Flinckstraat                       , 1072 EG ,56.0,2,4000.0,71.42857142857143,52.355581,4.895827
546,Nieuwe Achtergracht 97 HS                       , 1018 WP ,55.0,3,4000.0,72.72727272727273,52.363085,4.909554
547,Martelaarsgracht 9 IV                       , 1012 TN ,51.0,2,3500.0,68.62745098039215,52.377762,4.896516
548,Bloedstraat 22 II                       , 1012 BS ,50.0,2,2500.0,50.0,52.372795,4.8994339999999985
549,Rozenboomsteeg 8 I                       , 1012 PR ,81.0,3,4000.0,49.382716049382715,52.369236,4.890708
550,Kromme-Mijdrechtstraat                       , 1079 KR ,60.0,2,3500.0,58.33333333333334,52.347187,4.908138
551,Brouwersgracht 248 B                       , 1013 HE ,62.0,2,2800.0,45.161290322580655,52.382417,4.885611
552,Blasiusstraat                       , 1091 CL ,61.0,3,3000.0,49.18032786885247,52.357332,4.912146
553,Stadhouderskade 124 G                       , 1074 AV ,37.0,1,2350.0,63.51351351351353,52.357737,4.899613
554,Tweede Bloemdwarsstraat 1 B                       , 1016 LL ,55.0,4,2500.0,45.45454545454545,52.373738,4.879633
555,Julius Pergerstraat 61                       , 1087 KN ,80.0,3,2800.0,35.0,52.352025,5002068.0
556,Albert Cuypstraat 132 1                       , 1073 BJ ,36.0,2,3500.0,97.22222222222223,52.35543300000001,4.893504
557,Marnixstraat 54 HL                       , 1015 VT ,31.0,2,2350.0,75.80645161290323,52.380642,4.880299
558,Albert Cuypstraat 132 4                       , 1073 BJ ,28.0,2,3500.0,125.0,52.35543300000001,4.893504
559,Ferdinand Bolstraat                       , 1072 LB ,66.0,3,5500.0,83.33333333333333,52.350566,4.891676
560,Overschiestraat 170 B9*                       , 1062 XK ,77.0,3,2600.0,33.76623376623377,52.348849,4.839201
561,Overschiestraat 170 B19*                       , 1062 XK ,77.0,3,2600.0,33.76623376623377,52.348849,4.839201
562,Swammerdamstraat                       , 1091 RW ,65.0,3,3050.0,46.92307692307693,52.357744,4.907689
563,Overschiestraat 170 B10*                       , 1062 XK ,77.0,3,2600.0,33.76623376623377,52.348849,4.839201
564,Singel                       , 1012 VG ,48.0,2,2150.0,44.79166666666666,52.375858,4.891292
565,Jan Smitstraat                       , 1069 SZ ,95.0,3,3000.0,31.578947368421048,52.351232,4.800521
566,Benedenlangs 17                       , 1025 KB ,55.0,2,1950.0,35.45454545454545,52.396272,4.931381
567,Prinsengracht 657 1                       , 1016 HV ,45.0,2,2300.0,51.111111111111114,52.367072,4.882803
568,Groenburgwal                       , 1011 HW ,80.0,3,3650.0,45.625,52.368714,4.8979620000000015
569,Van Nijenrodeweg                       , 1082 HV ,87.0,3,3500.0,40.22988505747128,52.327461,4.858417
570,Overschiestraat 170 C6*                       , 1062 XK ,74.0,3,1800.0,24.324324324324326,52.348849,4.839201
571,Singel                       , 1012 WJ ,82.0,4,4000.0,48.780487804878035,52.375858,4.891292
572,Rustenburgerstraat                       , 1073 GJ ,53.0,3,3000.0,56.60377358490565,52.35135,4.890665
573,Jan Vrijmanstraat 345                       , 1087 NB ,109.0,3,3000.0,27.522935779816518,52.346241,5009875.0
574,Vondelstraat 122 C                       , 1054 GS ,70.0,2,3500.0,50.0,52.361242,4.873078
575,Brouwersgracht 248 A                       , 1013 HE ,78.0,2,4000.0,51.282051282051285,52.382417,4.885611
576,Koggestraat 8 B                       , 1012 TA ,68.0,2,2800.0,41.1764705882353,52.377561,4.893508
577,Daniël Stalpertstraat                       , 1072 XL ,67.0,3,3500.0,52.23880597014925,52.35634,4.887791
578,Orteliusstraat 349 I                       , 1056 PC ,55.0,2,2500.0,45.45454545454545,52.374238,4.846817
579,Joos Banckersplantsoen 85                       , 1056 LD ,130.0,3,4500.0,34.615384615384606,52.376381,4.855514
580,Westerkade                       , 1015 XE ,87.0,3,3000.0,34.48275862068966,52.375877,4.87786
581,Paramaribostraat 57 2                       , 1058 VG ,108.0,4,3500.0,32.407407407407405,52.360826,4.854189
582,Wamelplein                       , 1106 DP ,60.0,2,2500.0,41.66666666666666,52.299537,4.987297
583,Graafschapstraat                       , 1079 PE ,55.0,2,1950.0,35.45454545454545,52.339456,4.894278
584,De Lairessestraat                       , 1071 PB ,100.0,3,3650.0,36.5,52.353958,4.873075
585,Henri Zagwijnstraat 2 1                       , 1077 XP ,72.0,3,2200.0,30.555555555555557,52.342394,4.868703
586,Boeninlaan                       , 1102 TK ,56.0,2,2500.0,44.64285714285715,52.3216,4.941808
587,Nassaukade 302 1                       , 1053 LN ,45.0,2,2350.0,52.22222222222222,52.374679,4.81803
588,Kolfschotenstraat 324                       , 1104 PG ,50.0,2,2500.0,50.0,52.315496,4.966821
589,Omval 259 PP                       , 1096 HR ,80.0,3,3150.0,39.375,52.344263,4.915993
590,Kloveniersburgwal 77 C                       , 1011 KA ,125.0,3,3650.0,29.2,52.369562,4.897884
591,Fritz Conijnstraat                       , 1063 CC ,58.0,3,2800.0,48.27586206896552,52.384367,4.836106
592,Koningineg 188 bv                       , 1075 EJ ,180.0,6,4700.0,26.11111111111111,52.307398,4.946739
593,Staringplein                       , 1054 VK ,60.0,3,4000.0,66.66666666666667,52.360417,4.86301
594,Brouwersgracht 248 A                       , 1013 HE ,78.0,2,4000.0,51.282051282051285,52.382417,4.885611
595,Brouwersgracht 248 C                       , 1013 HE ,78.0,2,3000.0,38.46153846153846,52.382417,4.885611
596,Van Hogendorpstraat 155 1                       , 1051 BN ,60.0,2,2000.0,33.333333333333336,52.38294000000001,4.873399
597,Van Ostadestraat 238 3                       , 1073 TV ,90.0,3,3050.0,33.888888888888886,52.352805,4.896865
598,Carnapstraat                       , 1062 KT ,92.0,3,3500.0,38.04347826086956,52.354139,4.839292
599,Koggestraat                       , 1012 TA ,92.0,3,5000.0,54.34782608695652,52.377485,4.893503
600,Singel                       , 1016 AK ,85.0,2,4200.0,49.411764705882355,52.375858,4.891292
601,Govert Flinckstraat                       , 1074 CA ,55.0,2,3000.0,54.54545454545455,52.355581,4.895827
602,Fokke Simonszstraat 65 B2                       , 1017 TE ,40.0,2,2150.0,53.75,52.360258,4.895212
603,Gerard Douplein 19 H                       , 1073 XE ,105.0,4,3500.0,33.333333333333336,52.356146,4.893219
604,Maassluisstraat                       , 1062 GS ,40.0,1,2500.0,62.5,52.349216,4.836661
605,Eva Besnyöstraat                       , 1087 KR ,90.0,3,3000.0,33.333333333333336,52.34908400000001,5009566.0
606,Van Gentstraat                       , 1055 PC ,70.0,3,3000.0,42.857142857142854,52.383796,4.851579
607,Govert Flinckstraat                       , 1074 CA ,55.0,2,3000.0,54.54545454545455,52.355581,4.895827
608,Spijkerkade                       , 1021 JS ,30.0,1,1950.0,65.0,52.38487,4.921021
609,Spuistraat                       , 1012 SP ,45.0,2,2850.0,63.33333333333334,52.37056,4.889144
610,Spijkerkade                       , 1021 JS ,30.0,1,1950.0,65.0,52.38487,4.921021
611,Weteringschans 41 A                       , 1017 RW ,120.0,3,4500.0,37.5,52.361969,4.885255
612,Kuiperssteeg                       , 1012 HR ,75.0,2,2500.0,33.333333333333336,52.369903,4.893814
613,Nijenburg 8                       , 1081 GG ,56.0,2,3500.0,62.5,52.32845,4.865785
614,Valschermkade                       , 1059 CD ,18.0,1,2000.0,111.11111111111113,52.342239,4.845758999999998
615,Bloemgracht 110 B                       , 1015 TN ,103.0,4,4000.0,38.83495145631068,52.374663,4.879868
616,Waverstraat                       , 1079 VL ,55.0,2,3000.0,54.54545454545455,52.346014,4.908976
617,Erich Salomonstraat                       , 1087 GT ,90.0,3,2500.0,27.777777777777786,52.357277,4.996446
618,Van der Hoopstraat                       , 1051 VE ,50.0,2,3500.0,70.0,52.384355,4.8741900000000005
619,Brouwersgracht 248 C                       , 1013 HE ,78.0,2,3000.0,38.46153846153846,52.382417,4.885611
620,Brouwersgracht 248 F                       , 1013 HE ,62.0,2,2500.0,40.32258064516129,52.382417,4.885611
621,Loosduinenstraat 100                       , 1062 EG ,100.0,3,3150.0,31.5,52.351196,4.838119
622,Leidsegracht 82 F                       , 1016 CR ,105.0,3,6200.0,59.04761904761904,52.366025,4.881715
623,Fregelaan 15                       , 1062 KK ,93.0,3,2000.0,21.505376344086017,52.352849,4.837258
624,Hogewerf 133                       , 1082 NC ,81.0,3,2000.0,24.691358024691358,52.333683,4.880718
625,Samosstraat 30                       , 1060 TA ,14.0,1,710.0,50.714285714285715,52.345654,4.791809
626,Rinus Michelslaan 221                       , 1061 MB ,67.0,3,2150.0,32.089552238805965,52.373158,4.838783
627,Bloemstraat                       , 1016 LJ ,86.0,3,4750.0,55.23255813953488,52.373799,4.879824
628,De Lairessestraat                       , 1071 PL ,92.0,3,4000.0,43.47826086956522,52.352568,4.867877
629,Van Spilbergenstraat                       , 1057 RK ,70.0,3,3000.0,42.857142857142854,52.367038,4.851559
630,John Franklinstraat                       , 1056 SX ,54.0,2,2000.0,37.03703703703704,52.37233300000001,4.853828
631,Prins Hendrikkade                       , 1011 TB ,140.0,5,7000.0,50.0,52.378884,4.895995
632,Van Breestraat                       , 1071 ZG ,70.0,3,5000.0,71.42857142857143,52.356006,4.873316
633,Elisabeth Wolffstraat                       , 1053 TR ,107.0,5,3000.0,28.03738317757009,52.369781,4.867401
634,Beethovenstraat 151 1                       , 1077 JD ,73.0,3,3500.0,47.94520547945206,52.342747,4.877621
635,Overtoom 403 II                       , 1054 JP ,63.0,3,3150.0,50.0,52.359224,4.861768
636,Rosmarijnsteeg 15                       , 1012 RP ,60.0,2,2500.0,41.66666666666666,52.370308,4.88933
637,Veerstraat 8 H                       , 1075 ST ,95.0,3,4500.0,47.368421052631575,52.40802,4.933818
638,Kinderdijkstraat 76 II                       , 1079 GN ,55.0,3,2500.0,45.45454545454545,52.341891,4.902768
639,Vlakkerweg 97                       , 1033 DZ ,75.0,3,2150.0,28.66666666666667,52.40472000000001,4.899553
640,Tweede Hugo de Grootstraat 28 A                       , 1052 LD ,60.0,3,2500.0,41.66666666666666,52.374596,4.873628
641,Van Breestraat                       , 1071 ZP ,200.0,7,9000.0,45.0,52.356006,4.873316
642,Stephensonstraat 20 C                       , 1097 BB ,127.0,3,3150.0,24.80314960629921,52.350337,4.919641
643,Gaasterlandstraat 158                       , 1079 RH ,64.0,2,3000.0,46.875,52.33791400000001,4.895529
644,Fregelaan 121                       , 1062 KM ,100.0,3,2450.0,24.5,52.35282,4.838844
645,Gaasterlandstraat 174                       , 1079 RH ,89.0,3,2800.0,31.460674157303373,52.337834,4.89551
646,Eemlandstraat 13                       , 1079 RM ,60.0,2,2000.0,33.333333333333336,52.33808300000001,4.895741
647,Gustav Mahlerlaan 679                       , 1082 MK ,93.0,3,3500.0,37.63440860215053,52.336121,4.8709370000000005
648,Gerard Doustraat                       , 1072 VL ,46.0,2,4000.0,86.95652173913044,52.355304,4.8898220000000014
649,Brouwersgracht 248 K                       , 1013 HE ,60.0,2,2150.0,35.833333333333336,52.382417,4.885611
650,Brouwersgracht 248 A                       , 1013 HE ,78.0,2,4000.0,51.282051282051285,52.382417,4.885611
651,Pieter Lastmankade                       , 1075 KJ ,62.0,3,3150.0,50.806451612903224,52.347521,4.856877
652,Hoofddorpplein 10 II                       , 1058 PD ,55.0,2,2150.0,39.09090909090909,52.3514,4.850618
653,Kerkstraat                       , 1017 JA ,65.0,3,4500.0,69.23076923076923,52.362923,4.898906
654,Gerrit van der Veenstraat                       , 1077 DN ,68.0,3,4450.0,65.44117647058823,52.348818,4.877203
655,Eerste Jan van der Heijdenstraat 34 B                       , 1072 TV ,70.0,3,4500.0,64.28571428571429,52.352875,4.8879410000000005
656,Laurierstraat 75 F                       , 1016 PJ ,32.0,2,2000.0,62.5,52.371932,4.880223
657,Wedderborg 5                       , 1082 SV ,70.0,2,3500.0,50.0,52.334237,4.8738160000000015
658,Nieuwe Leliestraat 153 1                       , 1015 HC ,40.0,2,2500.0,62.5,52.374721,4.87859
659,Willem de Zwijgerlaan 353 2                       , 1055 RB ,50.0,2,2000.0,40.0,52.382257,4.8570449999999985
660,Amstelveenseweg 71 3                       , 1075 VV ,70.0,4,4450.0,63.57142857142857,52.353581,4.8560370000000015
661,Tugelaweg 71 1                       , 1091 VM ,54.0,3,2500.0,46.2962962962963,52.355142,4.919181
662,Laurierstraat 75 G                       , 1016 PJ ,28.0,2,2000.0,71.42857142857143,52.371932,4.880223
663,Van Nijenrodeweg 546                       , 1082 HS ,90.0,3,2800.0,31.11111111111111,52.32751500000001,4.873996
664,Eerste Jacob van Campenstraat                       , 1072 BH ,60.0,2,3000.0,50.0,52.357483,4.888775
665,Djambistraat 44 1                       , 1094 BB ,55.0,3,3000.0,54.54545454545455,52.364723,4.9378720000000005
666,Lindengracht                       , 1015 KN ,60.0,3,3500.0,58.33333333333334,52.380583,4.886718
667,Loenermark                       , 1025 SB ,80.0,4,2500.0,31.25,52.399525,4.932976
668,Spuistraat 3 F15                       , 1012 SP ,60.0,2,2000.0,33.333333333333336,52.369254,4.888593
669,Prinsengracht                       , 1017 KH ,45.0,2,3000.0,66.66666666666667,52.362122,4.898975
670,Singel                       , 1012 WL ,70.0,2,3000.0,42.857142857142854,52.375858,4.891292
671,Willem de Zwijgerlaan 108 H                       , 1056 JV ,50.0,2,2000.0,40.0,52.373541,4.863713
672,Paardekraalstraat 2 4                       , 1092 JB ,68.0,3,3000.0,44.11764705882353,52.355262,4.924596
673,Sumatrastraat 60 4                       , 1094 NG ,53.0,2,3500.0,66.0377358490566,52.362864,4.9356589999999985
674,Fokke Simonszstraat                       , 1017 TE ,72.0,2,3650.0,50.694444444444436,52.360304,4.893629
675,Westerdok 198                       , 1013 BH ,90.0,3,2800.0,31.11111111111111,52.383512,4.891532
676,Brouwersgracht 248 B                       , 1013 HE ,62.0,2,2800.0,45.161290322580655,52.382417,4.885611
677,Kromme-Mijdrechtstraat                       , 1079 KR ,60.0,2,3500.0,58.33333333333334,52.347187,4.908138
678,Haardstee 95                       , 1102 NE ,65.0,2,1950.0,30.0,52.311192,4.952168
679,Huidekoperstraat 25 A                       , 1017 ZL ,72.0,3,3150.0,43.75,52.358804,4.898062
680,Rozengracht 216 1                       , 1016 NL ,40.0,2,2350.0,58.75,52.37261,4.876837
681,Fokke Simonszstraat                       , 1017 TE ,82.0,2,4500.0,54.878048780487795,52.360304,4.893629
682,Funenpark 320                       , 1018 AK ,75.0,2,2800.0,37.333333333333336,52.36905,4.931837000000002
683,Nieuwe Uilenburgerstraat 108                       , 1011 LX ,115.0,2,4450.0,38.69565217391305,52.370108,4.903766
684,Van Leijenberghlaan 113 A                       , 1082 GD ,116.0,4,4300.0,37.06896551724138,52.327576,4.879746
685,Olympiaweg 72 1                       , 1076 XD ,48.0,2,3000.0,62.5,52.347438,4.860969
686,Nieuwe Herengracht                       , 1011 SG ,76.0,3,3500.0,46.05263157894736,52.365993,4.903332
687,Lederambachtstraat                       , 1069 HK ,80.0,4,4450.0,55.625,52.356395,4.795185
688,Bolestein 546                       , 1081 EJ ,88.0,3,2800.0,31.818181818181817,52.324934000000006,4.859314
689,Seranggracht                       , 1019 PM ,90.0,3,2200.0,24.44444444444445,52.377829,4.932932
690,Ruysdaelkade 113 a                       , 1072 AN ,55.0,2,2800.0,50.90909090909091,52.354939,4.887183
691,Fagelstraat 71 B                       , 1052 EZ ,66.0,3,2500.0,37.87878787878788,52.380101,4.875811
692,Oeverpad 431                       , 1068 PM ,106.0,3,3000.0,28.301886792452827,52.364502,4.808279
693,Sumatrakade 1499                       , 1019 RS ,110.0,4,3050.0,27.72727272727273,52.379533,4.923388
694,Keizersgracht 141 B                       , 1015 CK ,115.0,4,2950.0,25.65217391304348,52.375863,4.88685
695,Brouwersgracht 6 I                       , 1013 GW ,45.0,2,2500.0,55.55555555555557,52.379719,4.889313
696,Tielstraat 56                       , 1107 RA ,70.0,3,2300.0,32.857142857142854,52.291947,4.968978
697,Foeliedwarsstraat 62 1                       , 1011 TP ,87.0,3,3000.0,34.48275862068966,52.37055,4.910927
698,Brouwersgracht 248 C                       , 1013 HE ,78.0,2,3000.0,38.46153846153846,52.382417,4.885611
699,Michelangelostraat 81 I                       , 1077 BX ,60.0,2,2000.0,33.333333333333336,52.345723,4.871555
700,Van Walbeeckstraat                       , 1058 CM ,57.0,3,2300.0,40.35087719298246,52.36147800000001,4.851012
701,Frans Halsstraat                       , 1072 BS ,50.0,3,3000.0,60.0,52.356556,4.888733
702,Rijnstraat                       , 1078 RD ,57.0,3,2800.0,49.122807017543856,52.348776,4.9042010000000005
703,Veerstraat                       , 1075 SZ ,50.0,2,2500.0,50.0,52.35139,4.853946
704,Martelaarsgracht                       , 1012 TR ,70.0,3,3500.0,50.0,52.377883,4.896631
705,Welnastraat                       , 1096 GJ ,28.0,1,2500.0,89.2857142857143,52.339568,4.919455
706,Gerrit van der Veenstraat 161 H                       , 1077 EA ,162.0,6,8000.0,49.382716049382715,52.348569,4.868924
707,Gerrit van der Veenstraat 127 B                       , 1077 DW ,174.0,5,7600.0,43.678160919540225,52.34867,4.871315
708,Ferdinand Bolstraat                       , 1072 LB ,66.0,3,5500.0,83.33333333333333,52.350566,4.891676
709,Jacob van Lennepkade 44 3                       , 1053 ML ,90.0,2,3050.0,33.888888888888886,52.366028,4.874035
710,Tweede Jan Steenstraat 75 F                       , 1074 CL ,27.0,1,2350.0,87.03703703703705,52.402014,4.935554
711,Derde Schinkelstraat                       , 1075 TM ,80.0,3,2500.0,31.25,52.352868,4.8546010000000015
712,Kribbestraat 48 2                       , 1079 WV ,55.0,3,3200.0,58.18181818181818,52.341104,4.903613
713,Eef Kamerbeekstraat 674                       , 1095 MP ,48.0,1,2000.0,41.66666666666666,52.371136,4.9676589999999985
714,Eef Kamerbeekstraat 654                       , 1095 MP ,70.0,2,2600.0,37.142857142857146,52.371261,4.967935
715,Geuzenstraat                       , 1056 JZ ,62.0,3,2500.0,40.32258064516129,52.372279,4.8646379999999985
716,Michelangelostraat 116                       , 1077 CH ,120.0,3,5700.0,47.5,52.344975,4.87127
717,Dever 16                       , 1082 BJ ,65.0,3,2150.0,33.07692307692308,52.324899,4.869744
718,Willem de Zwijgerlaan 207 2                       , 1056 JP ,64.0,3,2150.0,33.59375,52.376907,4.86266
719,Nassaukade                       , 1052 CK ,52.0,2,3900.0,75.0,52.379572,4.878407
720,Joan Muyskenweg 6 B8                       , 1096 CJ ,73.0,3,2500.0,34.246575342465746,52.33625900000001,4.913532
721,Keizersgracht 210 II                       , 1016 DX ,80.0,2,2800.0,35.0,52.373542,4.8845800000000015
722,Prinsengracht 193 D                       , 1015 DS ,140.0,3,5500.0,39.285714285714285,52.377561,4.886183
723,Brouwersgracht 248 F                       , 1013 HE ,62.0,2,2500.0,40.32258064516129,52.382417,4.885611
724,Brouwersgracht 248 C                       , 1013 HE ,78.0,2,3000.0,38.46153846153846,52.382417,4.885611
725,Mary van der Sluisstraat 106                       , 1095 ME ,65.0,2,2500.0,38.46153846153846,52.372573,4.96357
726,Van Nijenrodeweg                       , 1083 EJ ,30.0,1,2500.0,83.33333333333333,52.327461,4.858417
727,Warmoesstraat 46 A                       , 1012 JE ,91.0,3,2950.0,32.41758241758241,52.375554,4.898314
728,Bloemstraat 36 D                       , 1016 LC ,45.0,2,2500.0,55.55555555555557,52.374375,4.8817949999999986
729,Van Boshuizenstraat 167                       , 1083 AV ,80.0,3,2150.0,26.875,52.407387,4.912163
730,Anton Verheijstraat 7 3                       , 1077 KT ,110.0,4,4450.0,40.45454545454545,52.343431,4.875632
731,Kinderdijkstraat 36 1                       , 1079 GK ,56.0,3,3000.0,53.57142857142857,52.343131,4.902813
732,Rokin 128 D                       , 1012 LC ,40.0,2,2350.0,58.75,52.368415,4.892082
733,Kinkerstraat                       , 1053 EL ,44.0,2,3000.0,68.18181818181819,52.367586,4.873204
734,Amstelvlietstraat 540                       , 1096 GG ,80.0,3,2400.0,30.0,52.33893,4.919182
735,Van Spilbergenstraat                       , 1057 PV ,45.0,3,2700.0,60.0,52.367038,4.851559
736,ms. van Riemsdijkweg                       , 1033 RD ,75.0,3,2500.0,33.333333333333336,52.400438,4.8920330000000005
737,Oudezijds Voorburgwal                       , 1012 EM ,80.0,3,4000.0,50.0,52.372452,4.896855
738,Beethovenstraat 138 3                       , 1077 JS ,210.0,6,4650.0,22.142857142857146,52.345789,4.876412
739,Willem de Zwijgerlaan                       , 1056 JT ,50.0,2,1700.0,34.0,52.371166,4.8631980000000015
740,Cabotstraat 17 1                       , 1057 VP ,48.0,3,2350.0,48.95833333333334,52.368158,4.8557739999999985
741,Wijdesteeg 64 *                       , 1012 RN ,50.0,2,2150.0,43.0,52.371757,4.890098
742,Tugelaweg 32 A                       , 1092 VE ,70.0,1,3000.0,42.857142857142854,52.356497,4.92353
743,Saenredamstraat                       , 1072 CH ,35.0,2,2150.0,61.42857142857143,52.355726,4.888708
744,Eef Kamerbeekstraat 88                       , 1095 MP ,45.0,1,2350.0,52.22222222222222,52.373423,4.963585
745,Hageland 120                       , 1066 SB ,77.0,3,3500.0,45.45454545454545,52.345278,4.812051
746,Noorderstraat                       , 1017 TW ,70.0,3,3150.0,45.0,52.361218,4.89377
747,Geldersekade 27 C                       , 1011 EJ ,48.0,2,2000.0,41.66666666666666,52.375441,4.9024160000000006
748,Brouwersgracht 248 C                       , 1013 HE ,78.0,2,3000.0,38.46153846153846,52.382417,4.885611
749,Ceintuurbaan                       , 1074 EB ,60.0,2,2800.0,46.66666666666666,52.354812,4.9010370000000005
750,Joan Melchior Kemperstraat                       , 1051 TS ,39.0,2,2350.0,60.256410256410255,52.385021,4.874594
751,Van Walbeeckstraat 70 ll                       , 1058 CW ,58.0,4,2500.0,43.10344827586207,52.362035,4.851223
752,Prinsengracht 415 E                       , 1016 HM ,125.0,4,6200.0,49.6,52.371055,4.8831690000000005
753,Haarlemmermeerstraat 130 II                       , 1058 KH ,56.0,2,2150.0,38.392857142857146,52.352935,4.850159
754,Saskia van Uijlenburgkade 134                       , 1058 GA ,98.0,3,3500.0,35.714285714285715,52.356496,4.846593
755,Loenermark                       , 1025 TB ,90.0,4,3000.0,33.333333333333336,52.399525,4.932976
756,Van Spilbergenstraat 88 H                       , 1057 RL ,65.0,2,3000.0,46.153846153846146,52.366748,4.851857
757,Zeeburgerstraat                       , 1018 AG ,100.0,3,4500.0,45.0,52.366462,4.925985
758,Herengracht                       , 1016 BE ,50.0,2,2500.0,50.0,52.365048,4.898317
759,Omval                       , 1096 AA ,80.0,3,3500.0,43.75,52.342847,4.919715
760,Sint Willibrordusstraat 20 II                       , 1074 XL ,55.0,2,3000.0,54.54545454545455,52.354662,4.90257
761,Nicolaas Witsenstraat 18 1                       , 1017 ZH ,50.0,2,2500.0,50.0,52.358527,4.896083
762,B. Merkelbachsingel                       , 1022 KE ,70.0,3,2150.0,30.714285714285715,52.405327,4.931657
763,Jacques Veltmanstraat                       , 1065 DB ,85.0,3,2500.0,29.411764705882355,52.351505,4.8309940000000005
764,Lauriergracht                       , 1016 RP ,70.0,2,3650.0,52.14285714285714,52.371294,4.879935
765,Cas Oorthuyskade 374                       , 1087 DP ,98.0,3,3350.0,34.18367346938776,52.361141,4.991874
766,Pieter Cornelisz. Hooftstraat 151 1                       , 1071 BT ,60.0,2,4450.0,74.16666666666667,52.359138,4.8769339999999985
767,Javastraat 104 1                       , 1094 HN ,50.0,3,3000.0,60.0,52.363613,4.9366650000000005
768,Ookmeerweg 7 C                       , 1068 ZX ,124.0,4,2150.0,17.338709677419356,52.365608,4.802832
769,Kuipersstraat                       , 1073 ER ,55.0,3,2500.0,45.45454545454545,52.353543,4.902691
770,Frans van Mierisstraat 69 II                       , 1071 RL ,187.0,5,8000.0,42.78074866310161,52.35429600000001,4.881789
771,Pieter Cornelisz. Hooftstraat                       , 1071 BN ,100.0,3,2950.0,29.5,52.360453,4.8818220000000005
772,Bert Haanstrakade 122                       , 1087 DN ,119.0,3,2300.0,19.32773109243697,52.360517,4.993258999999999
773,Korte Leidsedwarsstraat                       , 1017 PV ,50.0,2,2300.0,46.0,52.363282,4.884683
774,Beethovenstraat                       , 1077 JS ,140.0,4,4500.0,32.142857142857146,52.343825,4.877039
775,Beethovenstraat                       , 1077 JS ,210.0,7,4650.0,22.142857142857146,52.343825,4.877039
776,Kolfschotenstraat                       , 1104 PC ,75.0,3,2150.0,28.66666666666667,52.316973,4.970868
777,Ten Katestraat                       , 1053 CE ,48.0,2,3000.0,62.5,52.366014,4.86771
778,Crynssenstraat                       , 1058 XZ ,58.0,2,2000.0,34.48275862068966,52.362511,4.856253
779,Balistraat                       , 1094 JP ,40.0,2,2500.0,62.5,52.363149,4.935579
780,Uiterwaardenstraat                       , 1079 BS ,51.0,3,3000.0,58.82352941176471,52.342802,4.903116000000002
781,Balistraat 48 H                       , 1094 JN ,49.0,2,2500.0,51.02040816326532,52.36300900000001,4.933793
782,Diezestraat 26 2                       , 1078 JR ,125.0,4,4750.0,38.0,52.345396,4.891738
783,Hebridenlaan 27 C                       , 1060 LS ,83.0,4,4000.0,48.19277108433735,52.347622,4.7935
784,Hebridenlaan 27 A                       , 1060 LS ,66.0,2,1700.0,25.75757575757576,52.347622,4.7935
785,Hebridenlaan 27 B                       , 1060 LS ,53.0,3,2900.0,54.716981132075475,52.347622,4.7935
786,Solitudopad                       , 1096 DR ,40.0,2,2150.0,53.75,52.34126,4.923218
787,Joh.M. Coenenstraat                       , 1071 WH ,100.0,3,3500.0,35.0,52.351412,4.879837
788,Overtoom                       , 1054 HX ,100.0,3,4750.0,47.5,52.361024,4.868881
789,Van Reigersbergenstraat                       , 1052 SX ,70.0,4,3150.0,45.0,52.372566,4.869574
790,Tweede Constantijn Huygensstraat                       , 1054 CR ,75.0,2,2500.0,33.333333333333336,52.363382,4.873156
791,Eerste Weteringdwarsstraat 65 E                       , 1017 TM ,70.0,3,4000.0,57.14285714285714,52.361879,4.889557
792,Singel                       , 1015 AC ,32.0,1,2500.0,78.125,52.375858,4.891292
793,Eerste Tuindwarsstraat 8 I                       , 1015 RV ,45.0,3,2600.0,57.77777777777778,52.3776,4.883638
794,Marnixstraat                       , 1016 XV ,82.0,3,3500.0,42.68292682926829,52.365369,4.880152
795,Overtoom                       , 1054 HV ,74.0,2,4450.0,60.135135135135144,52.361024,4.868881
796,Brouwersgracht 248 B                       , 1013 HE ,62.0,2,2800.0,45.161290322580655,52.382417,4.885611
797,Admiraal De Ruijterweg 77 I                       , 1057 JZ ,50.0,3,2800.0,56.0,52.371324,4.8601269999999985
798,Lange Leidsedwarsstraat 160 1                       , 1017 NP ,45.0,2,2350.0,52.22222222222222,52.363085,4.88577
799,Ceintuurbaan 196 ³                       , 1072 GC ,75.0,3,2600.0,34.666666666666664,52.352118,4.887318
800,Wittgensteinlaan 164                       , 1062 KD ,96.0,3,2400.0,25.0,52.352975,4.835451
801,Rustenburgerstraat                       , 1072 HD ,119.0,4,5000.0,42.01680672268908,52.35135,4.890665
802,Kuipersstraat 149 A7                       , 1073 ER ,50.0,3,2500.0,50.0,52.352971,4.900107
803,Geuzenstraat                       , 1056 KC ,63.0,3,2500.0,39.68253968253968,52.372279,4.8646379999999985
804,Jasonstraat 31 4                       , 1076 KX ,58.0,3,3000.0,51.72413793103448,52.343858,4.860409
805,De Wittenstraat                       , 1052 AT ,45.0,2,2500.0,55.55555555555557,52.383154,4.878522
806,Gustav Mahlerlaan 931                       , 1082 MK ,110.0,3,4000.0,36.36363636363637,52.336452,4.86994
807,Daniël Stalpertstraat                       , 1072 XB ,80.0,3,3500.0,43.75,52.35634,4.887791
808,Valkenburgerstraat                       , 1011 MH ,82.0,3,4300.0,52.4390243902439,52.369578,4.906694
