,lat,lon
0,52.376071,4.893344
1,52.358384,4.853117
2,52.357816,4.827325
3,52.369261,4.88929
4,52.365024,4.884466
5,52.365963,4.886446
6,52.367005,4.888956
7,52.353745,4.774775
8,52.352917,4.776846
9,52.350338,4.783287
10,52.350985,4.794747
11,52.352505,4.802256
12,52.353897,4.808843
13,52.362752,4.875287
14,52.358968,4.860096
15,52.347758,4.94019
16,52.343074,4.947649
17,52.33961,4.954533
18,52.3382985,4.9612609
19,52.336763,4.969577
20,52.361019,4.929368
21,52.356401,4.810137
22,52.357957,4.840032
23,52.361472,4.853279
24,52.364245,4.8534365
25,52.365975,4.867544
26,52.367246,4.872164
27,52.363775,4.882348
28,52.349776,4.788597
29,52.360454,4.866245
30,52.384237,4.869865
31,52.381498,4.881058
32,52.376743,4.937331
33,52.381325,4.821459
34,52.384362,4.875041
35,52.368273,4.926459
36,52.373506,4.938455
37,52.362487,4.91432
38,52.359632,4.890943
39,52.360889,4.887257
40,52.385044,4.883588
41,52.383185,4.877048
42,52.38114,4.879189
43,52.363606,4.918929
44,52.366772,4.924559
45,52.370258,4.929691
46,52.372899,4.934361
47,52.370537,4.863925
48,52.35279,4.891107
49,52.382574,4.851309
50,52.385888,4.846416
51,52.347345,4.891162
52,52.340218,4.891987
53,52.344529,4.900811
54,52.342999,4.89659
55,52.34191,4.89304
56,52.301255,4.867279
57,52.37092,4.85536
58,52.37469,4.85856
59,52.37218,4.875884
60,52.352858,4.882355
61,52.380563,4.854869
62,52.346939,4.895126
63,52.346697,4.899972
64,52.350197,4.891543
65,52.373161,4.890512
66,52.376429,4.812448
67,52.379721,4.832243
68,52.380571,4.826824
69,52.374411,4.827313
70,52.369434,4.844117
71,52.3762644,4.8469871
72,52.376945,4.806463
73,52.377261,4.803269
74,52.370039,4.850261
75,52.369648,4.838204
76,52.372849,4.818873
77,52.366244,4.896573
78,52.366628,4.91117
79,52.365162,4.915413
80,52.375695,4.81902
81,52.365172,4.951398
82,52.367822,4.905698
83,52.361919,4.92398
84,52.360018,4.925295
85,52.364873,4.947752
86,52.371488,4.838105
87,52.377877,4.845748
88,52.362213,4.943723
89,52.361697,4.940094
90,52.353489,4.930963
91,52.350859,4.935164
92,52.365925,4.927672
93,52.365812,4.932676
94,52.364327,4.937667
95,52.373816,4.894051
96,52.3698,4.892378
97,52.357072,4.890701
98,52.341126,4.857697
99,52.356547,4.879725
100,52.355548,4.786911
101,52.356492,4.791584
102,52.358004,4.799095
103,52.359418,4.803203
104,52.359622,4.807557
105,52.368807,4.877952
106,52.370886,4.870333
107,52.35151,4.856596
108,52.351584,4.845329
109,52.346463,4.816059
110,52.34636,4.81092
111,52.344996,4.803954
112,52.356018,4.8707
113,52.353226,4.863504
114,52.351551,4.840877
115,52.346694,4.824626
116,52.349164,4.827477
117,52.351309,4.849935
118,52.358149,4.878563
119,52.342904,4.876771
120,52.347097,4.876902
121,52.346736,4.872528
123,52.357213,4.927077
124,52.377247,4.913021
125,52.376122,4.921578
126,52.372026,4.96151
127,52.362993,4.980435
128,52.357584,4.990809
129,52.355237,4.995222
130,52.352886,4.99964
131,52.388067,4.885239
132,52.358589,4.91704
133,52.378394,4.878623
134,52.346245,4.904905
135,52.357323,4.909558
136,52.351688,4.903209
137,52.347096,4.910978
138,52.360938,4.932956
139,52.378542,4.875341
140,52.349068,4.904193
141,52.358356,4.913602
142,52.354823,4.901243
143,52.353255,4.894581
144,52.363839,4.898296
145,52.362122,4.898983
146,52.359524,4.898756
147,52.340165,4.873144
148,52.33143,4.868837
149,52.338103,4.868696
150,52.321631,4.869149
151,52.343958,4.856892
152,52.312372,4.872228
153,52.308284,4.872508
154,52.308284,4.872508
155,52.357894,4.834373
156,52.395182,4.85083
157,52.296347,4.989227
158,52.331754,4.917802
159,52.295619,4.974164
160,52.388603,4.838885
161,52.373127,4.835498
162,52.378837,4.83788
163,52.346543,4.834481
164,52.351505,4.834334
165,52.364866,4.833949
166,52.338394,4.857271
167,52.337006,4.890724
168,52.318424,4.941468
169,52.312132,4.947191
170,52.3068,4.952102
171,52.298182,4.95998
172,52.323607,4.936487
173,52.3349118,4.8683844
174,52.325405,4.868966
175,52.340042,4.920966
176,52.378027,4.899773
177,52.367349,4.902401
178,52.361173,4.907978
179,52.354333,4.912123
180,52.345272,4.858524
181,52.34634,4.866257
182,52.349099,4.877276
183,52.37192,4.901301
184,52.346663,4.918297
185,52.329678,4.9303
186,52.328624,4.966759
187,52.323631,4.973044
188,52.316618,4.979454
189,52.311035,4.984549
190,52.326737,4.946229
191,52.364725,4.859676
192,52.367174,4.852482
193,52.371499,4.859967
194,52.364811,4.862701
195,52.340165,4.873144
196,52.357894,4.834373
197,52.388603,4.838885
198,52.373127,4.835498
199,52.378837,4.83788
200,52.351505,4.834334
201,52.338394,4.857271
202,52.337006,4.890724
203,52.378027,4.899773
204,52.367349,4.902401
205,52.361173,4.907978
206,52.346663,4.918297
207,52.33027,4.956447
208,52.368939,4.968961
209,52.374035,4.884106
210,52.340218,4.891987
211,52.388902,4.918652
212,52.401877,4.932229
213,52.3698,4.892378
214,52.359632,4.890943
215,52.35279,4.891107
216,52.3598176,4.8835384
217,52.3746846,4.8727694
218,52.3361529,4.8893095
219,52.3743398,4.8764506
220,52.3732403,4.8486137
221,52.3781302,4.8574551
222,52.3351784,4.8598291
