,Unnamed: 0, Latitude, Longitude, Status
173,173,5.232.854,4.865.784,doubt
174,174,52.333.787,4.881.861,success
175,175,5.232.619,4.872.353,success
176,176,52.403.942,4.941.201,success
177,177,52.336.185,48.757,doubt
178,178,52.322.383,4.861.647,success
179,179,52.371.166,4.863.198,doubt
180,180,489.973,doubt,
181,181,52.343.825,4.877.039,doubt
182,182,52.338.908,4.918.436,success
183,183,52.318.961,4.959.496,success
184,184,52.373.522,4.967.877,doubt
185,185,52.307.937,4.983.103,success
186,186,52.373.285,4.829.275,success
187,187,5.236.315,4.888.324,doubt
188,188,52.342.121,4.909.733,success
189,189,52.362.671,487.658,success
190,190,52.349.819,4.839.166,success
191,191,52.345.224,4.811.964,success
192,192,52.347.187,4.908.138,success
193,193,489.973,doubt,
194,194,489.973,doubt,
195,195,52.371.239,4.876.067,success
196,196,52.360.989,4.887.424,doubt
197,197,52.376.034,4.891.513,doubt
198,198,52.367.179,4.865.858,success
199,199,52.405.708,490.952,success
200,200,52.365.027,4.942.769,doubt
201,201,52.369.704,4.849.363,doubt
202,202,52.354.195,4.910.623,success
203,203,489.973,doubt,
204,204,52.362.122,4.898.975,success
205,205,52.382.613,4.871.248,success
206,206,52.360.203,4.857.617,doubt
207,207,52.359.261,4.895.473,success
208,208,52.327.461,4.858.417,doubt
209,209,52.389.254,488.709,success
210,210,52.353.744,4.897.897,doubt
211,211,52.361.512,4.899.352,success
212,212,52.342.591,4.904.892,success
213,213,52.362.236,4.896.054,success
214,214,52.374.402,4.891.203,success
215,215,52.332.646,4.888.374,success
216,216,52.354.349,4.889.876,doubt
217,217,52.379.166,488.461,doubt
218,218,52.367.758,4.875.131,doubt
219,219,52.366.959,4.875.331,doubt
220,220,52.375.406,48.746,success
221,221,52.374.414,4.899.625,doubt
222,222,52.327.461,4.882.212,doubt
223,223,52.375.798,4.847.289,success
224,224,52.354.812,4.901.037,doubt
225,225,489.973,doubt,
226,226,52.395.356,4.952.368,success
227,227,52.353.227,4.857.274,doubt
228,228,52.370.457,4.903.454,doubt
229,229,52.363.162,4.855.981,doubt
230,230,52.352.773,492.225,success
231,231,52.372.816,4.848.332,doubt
232,232,52.383.442,4.872.928,success
233,233,52.367.586,4.873.204,doubt
234,234,52.371.067,4.896.708,doubt
235,235,52.366.516,4.891.502,success
236,236,52.368.836,4.883.268,doubt
237,237,52.378.884,4.895.995,doubt
238,238,52.382.417,4.885.611,doubt
239,239,52.382.417,4.885.611,doubt
240,240,52.382.417,4.885.611,success
241,241,52.352.741,4.854.595,doubt
242,242,52.371.164,4.873.306,success
243,243,52.322.429,4.955.261,doubt
244,244,52.372.418,4.879.646,doubt
245,245,52.362.457,4.979.589,doubt
246,246,5.236.953,4.954.224,success
247,247,52.380.648,4.883.967,success
248,248,52.342.346,4.910.559,success
249,249,52.361.024,4.868.881,doubt
250,250,52.377.396,4.857.485,doubt
251,251,52.355.608,489.889,doubt
252,252,52.354.037,4.855.489,doubt
253,253,52.361.822,4.852.588,success
