,Address,Postcode,Size in m²,Rooms,Prize in €,Price/Sqm,Latitude,Longitude
63,Ceintuurbaan                       , 1074 EB ,60.0,2,2800.0,46.66666666666666,52.354812,4.9010370000000005
64,Ceintuurbaan                       , 1072 GB ,60.0,2,2300.0,38.333333333333336,52.354812,4.9010370000000005
65,Lodewijk Boisotstraat                       , 1057 ZN ,60.0,3,3000.0,50.0,52.369219,4.858385
66,Marnixkade                       , 1015 ZJ ,38.0,1,2500.0,65.78947368421052,52.383,4.88131
67,Eerste Constantijn Huygensstraat                       , 1054 BS ,50.0,3,4000.0,80.0,52.362854,4.8753
68,Welnastraat                       , 1096 GJ ,28.0,1,3000.0,107.14285714285714,52.339568,4.919455
69,Warmoesstraat 50 R                       , 1012 JE ,70.0,3,3650.0,52.14285714285714,52.375513,4.898103
70,Eerste Jan Steenstraat 126 2                       , 1072 NT ,70.0,3,3000.0,42.857142857142854,52.354289,4.892857
72,Albert Cuypstraat 209 1                       , 1073 BE ,45.0,2,1300.0,28.88888888888889,52.356234,4.895976
73,Westerstraat                       , 1015 LX ,50.0,2,2000.0,40.0,52.377634,4.879553
74,Blaeustraat                       , 1012 ZK ,25.0,1,1500.0,60.0,52.374377,4.892204
75,Herengracht 437 C                       , 1017 BR ,70.0,3,3500.0,50.0,52.365048,4.898317
76,Balthasar Floriszstraat 55 B                       , 1071 VB ,53.0,3,3000.0,56.60377358490565,52.353396999999994,4.885807
77,Kinderdijkstraat 68 3                       , 1079 GM ,86.0,5,3050.0,35.46511627906977,52.342107,4.902794999999999
78,Duke Ellingtonstraat 92                       , 1066 GG ,83.0,3,2800.0,33.734939759036145,52.343785,4.826893
79,Kinkerstraat                       , 1053 EC ,53.0,4,4500.0,84.90566037735849,52.367585999999996,4.873204
82,Nieuwe Spiegelstraat 67 2                       , 1017 DD ,90.0,3,4500.0,50.0,52.362871000000005,4.888326999999999
83,Grubbehoeve 528                       , 1103 GZ ,70.0,3,2500.0,35.714285714285715,52.321782,4.977894
84,Michelangelostraat                       , 1077 BZ ,85.0,4,3050.0,35.882352941176464,52.345487,4.871384
85,Sarphatipark 114 3                       , 1073 ED ,83.0,3,3650.0,43.975903614457856,52.353744,4.897897
86,Krommeniestraat                       , 1013 XH ,69.0,2,2500.0,36.231884057971016,52.391242999999996,4.875186
87,Krommeniestraat                       , 1013 XH ,89.0,3,5000.0,56.179775280898866,52.391242999999996,4.875186
88,Krommeniestraat                       , 1013 XH ,36.0,1,2500.0,69.44444444444444,52.391242999999996,4.875186
90,Krommeniestraat                       , 1013 XH ,65.0,3,3000.0,46.153846153846146,52.391242999999996,4.875186
91,Krommeniestraat                       , 1013 XH ,86.0,3,4500.0,52.32558139534883,52.391242999999996,4.875186
93,Brouwersgracht 248 B                       , 1013 HE ,62.0,2,2800.0,45.161290322580655,52.382417,4.885611
